V240001	V241172 - PRE: What does R dislike about the Democratic party [text]
140056	immigration policy is bad, sometimes bends too much to the disastrous far left, can be misguided even if well intentioned
140058	the open border which is destroying our country.
140060	the follow through can be lacking. they say they want pro choice and that they care about the environment but then let bit pharmaceutical companies and corporations buy their opinion
140061	the official policy toward the Palestinien issue.
140062	Listening to lobbyists, large corporations, and big pharma companies AT ALL. They shouldn’t even entertain these companies and lobbyisis. They should just do what they know is right.
140063	Immigration policies like open border
140065	can be sometimes too liberal.
140066	It is not strong enough against gun ownership and is not as anti-religion as I would like.
140067	Too beholden to corporate interests. Not willing enough to play hard ball, they compromise before they need to.
140070	Giving out too much money. Also allowing too much immigration.
140073	Their only concern is Donald Trump not getting into office again. I've heard nothing about what they will do to help this country, they are more interested in tearing it down.
140076	Until quite recently, their inability to fix the damn border. They did go along with the recent bill but Trump killed it. I realize we need unskilled labor to do the jobs Americans won't do, both parties need unskilled labor for nursing homes and to work in the barns of diary farms etc, clean the tiolets in Las Vegas, pick the lettuce in Calif, but we should be able to monitor who is coming in I prefer to see families rather than hordes of single men.
140077	They spend money they don't have.
140079	liberal funding programs
140081	prices of everything are to high
140082	Seems they lose more than they gain when trying to put things in action for the American voters
140088	economic policy, immigration laws
140089	Economic political outlook
140090	there abortion laws, taxes, forgiven policies, kamala
140093	the democrat party is awash with feminine men, black female racists and transexual lunatics[CHAR(10)]They should listen to James Carville......
140094	SK
140095	Too quick to spend money. Overly aggressive with excessive rules.
140096	never get anything done
140097	Sometimes the divisiveness takes over the big picture within the party.
140102	pro abortion[CHAR(10)]take from the hard working Americans and give it to those who feel entitled to being taken care of by the government
140103	cultural values[CHAR(10)]abortion [CHAR(10)]economy[CHAR(10)]spending border[CHAR(10)]
140107	They generally want to increase the size and power of the Federal Government and spend beyond the expected income.
140108	THE WAY THEY ARE HANDLING SOME ISSUES
140112	There Policies all together, they do not show any concern for Making America better.
140114	the lack of jobs, economy etc
140115	They need to do more about healthcare and medicine prices for the average American. They are going in the right direction.
140116	They are corrupt, will do anything to win and election. They are soft on crime, soft on the border, economic policies are socialist.
140117	I feel like the democratic party wants better for the country, but I also feel that they withhold parts of the truth, and they also need to toughen up!
140119	Support for open borders, allowing criminals, terrorists and drugs to pour across our border, lack of support for law enforcement and our military, their support for candidates who are not up to the job (Biden and Harris), support for an unbalanced legal system, support for environmental issues that unfairly penalize U. S. citizens with regard to the rest of the world, taxes that only hurt our economy.
140125	Their very far left agenda
140126	Lack of assertiveness in regards to Donald Trump, Maga.[CHAR(10)][CHAR(10)]
140131	Everything else they stand for!
140132	they are milk toast at best! always afraid of offending people. fight dammit!
140134	abortion policy, larger government.
140135	not worried about average person. lies. taking our power away. does not care about the border
140136	Democratic Party positions on crime and immigration are not well thought out.
140143	spending all the money.
140147	extreme left agenda, green agenda, focus on high spending
140149	The entitlement mentality and lack of understanding individual responsibility
140155	just too liberal. They want to take care of everyone at my expense. the elderly and veterans are the ones we should be taking care of. Not young people, who chose to live in their parent's basement and chose to work part-time. Nor should we be footing the bill for immigrants.
140156	policies, their disdain for the country as ot was intended
140157	they like to argue
140159	It comprised mostly of career politicians, and I don't like many of the individuals. I support most of the policies they are duty-bound to support.
140160	left wing tax and spend
140162	How far from their roots they’ve departed. How they treat the black community
140166	SK
140169	There are elements in the Democratic Party that still bother me, however, I am pleased (again) how they have moved to what I consider center left" rather than extreme left."
140171	THE BOARDER SITUATION
140172	Money minded. Does not listen to the people.
140173	immigration policy avoidance[CHAR(10)]abortion(where unlimited) policy[CHAR(10)]ALL woke policies
140175	they seem to be unconcerned about problems with immigration, crime and economy. too willing to send money to foreign countries and take care of American citizens
140185	I dont like that they support israel
140189	lack of ideas on immigration; soft on crime
140190	The Democratic Party does not value life as shown in their pro-abortion stance. They do not care about the needs of the American people.
140191	The Democratic Party is too willing to put our country farther into debt.
140193	It is becoming more and more progressive everyday which threatens everything our forefathers fought for and believed. Want to be in control. They point fingers and accuse other parties of doing the very thing they do and are the true threat to democracy.
140194	their thinking is to extreme they have totally changed from years past
140199	reimbursement of college loans. Some social issues that cater to an extremely small segment of society
140203	Slow to take action. Not enough young leaders in power.
140205	spend spend spend. Spend way to much and want to keep doing that. Free stuff for all will lead to our downfall.
140206	They are too lenient on criminals, Immigrants and give away money to people who don't work for it.
140207	i don't think they're honest
140208	SPENDING REGULATION BORDER
140210	they mean when you don’t agree with them
140213	I don’t like that they try to control our gun rights and they are not strong on keeping illegal immigrants out. We are already so over populated. Lets focus on taking care of the citizens of the US
140217	They are not interested the needs of Americans. They are socialist Lobbyists.
140218	backing of genocide
140219	Be more progressive
140221	to far to the left and do not trust any of them
140222	Economic policies
140224	Lack of strength in pushing forth policies.[CHAR(10)]Not so strong on crime
140225	I thought I explained in the last comment
140226	It's not clear to me what they stand for.
140227	afraid to take risks, could be more vocal about what is happening in Palestine
140232	Extremism, allowing other priorities to overcome the nations needs, such as, education.
140233	There are too many radicals.
140235	All the lying and projecting onto the Republican party all the corruption they are carrying out. Border crisis. Insider trading. Seem like they are power hungry crazed and drunks.
140237	trump
140242	they lie to the American people and twist information
140243	Progressive ideology. New-found acceptance of antisemitism. tendency towards statism.
140245	Their not perfect as nothing is. Gee I don't know just not relevant to the head line.
140249	radical views on issues
140251	THEY ARE LOKING OUT FOR EVERYONE IN THE COUNTRY.
140253	They lie, cheat and steal. Absolutely corrupt on every level. They have destroyed every major city in this country and seek to control the entire country for their own individual benefit. They are leading this country further and further to the left towards socialism and communism.
140254	They are disorganized and can’t seem to see the big picture, they are horribly shortsighted.
140255	too much charity, pushing woke agenda's on us
140258	gun policy and stance on maintaining the current abortion bans
140259	they spend way too much money, our debt continues to rise
140261	I don’t like anything
140263	They care more about the future of the party, which is the same as the Republican Party, rather than the future of the country. Party over Nation
140264	1) Policies the Democratic Party have put forward in recent times have shown to create discontent. [CHAR(10)]These policies include, immigration, voting integrity, censoring of social media, lawfare tactics against opponents, blatant intolerance of opposing American viewpoints, and the inability to follow general democratic practices for choosing candidates for the highest of offices.
140267	Too liberal, as long as it makes a person happy it’s ok whether it’s moral or not. All for the killing of babies via abortions.
140268	This Party has LOST its way. it is TOO WOKE, Too Divisive, works to Promote division in America, when they should focus on Issues that Help this Great Country. Too Much Rediculous spending on issue that appear to pander for votes. Wrong ON Energy. Wrong on our Military. Wrong on the Economy. Promoters of censorship. Actively Acting in Political Prosecution of its opposing party. The Promoters of Hate and heightened divisive rhetoric. Discussed that I even have to write a list like this, on a Party that has Changed SO MUCH in a matter of 15 to 20 years.[CHAR(10)]
140269	Their liberal approach.
140273	inability to advance legislation in favor of the people
140274	Poor leadership
140275	stronger boarder control
140276	After President Biden withdrew from the race, they did not hold an emergency election before deciding that Kamala Harris would be the next democratic presidential candidate.[CHAR(10)][CHAR(10)]She was made the democratic nominee with consulting the people. That is wrong.
140277	They have been taken over by the jesuits.
140278	there views on immigration and abortion
140279	we don’t fight back hard enough with these crazy republicans that forget that they are on video tape saying dumb stuff and kissing Donald Trumps Rump
140281	very liberal ! not religious at all . supporting the gay and lesnbian. Saying to inocente 12 year olds , its ok to feel confused if you don't know what gender you are ! Its very sad...
140283	I do feel like we need to provide more aid to our own citizens. There continues to be a lack of resources for the needy, homeless, etc.
140286	They are all evil, have no morals, hate this country, hate the constitution, don’t give a shit about American citizens, determined to destroy and bankrupt the country, make up their own rules to suit their agenda, only care about lining their pockets with money, lie, cheat and all at our expense. They work for Satan!
140290	too many hand outs to illegal immigrants [CHAR(10)]major mishandling of tax payer money
140291	Not doing enough for environmental issues. Not addressing them, not enforcing and not working on the problems. What is being done and talked about by the democratic party and those politicians is extremely too little and too late. The problems going on socially and economically are egregious, but not existential, like that of the current environmental problems, which if not addressed immediately and drastically, will cause increased social, economical, political problems and make the world a very dangerous and possibly uninhabitable place for all if not most people.
140293	Immigration should be reformed a bit.
140294	using political system as warfare
140299	Their values are far from what I agree with. They are unable to work well with other parties or people who don't have the same ideas and opinions as them.
140300	too much support on illegals, not closing the border, giving free money to NONcitizens. not supporting police. not holding people accountable for stealing and burning cities down. not getting the hostages in Israel out. not standing up to radical islamists or other terror groups
140301	there's stance on abortion is disgusting, their stance on critical race Theory and gender Theory, their stance on allowing men to compete in women's sports, their immigration policies, College bailouts, how most of the democratic party hates Israel insides with Hamas, how they demonized capitalism in businesses even though they reap the benefits of all of those, the forcing of our kids and keeping them out of school, not following the science when they claim to, forcing vaccinations on people that had natural immunity from a disease, the teacher unions, taxes, and the jailing of Christians for just praying and how weak the current Democratic party has made us look in front of all the other countries in the world.
140304	I feel like the Democratic Party is wanting to support everyone at the expense of American taxpayers, and in spite of the fact that our country is extreme debt. I feel like the Democratic Party wants to force beliefs on the American people (force comfort with being in private areas with others of the same sex even if they claim a different gender; I feel like everyone is entitled to filling safe, especially in private areas). I feel like the Democratic Party wants to hold people in poverty by not encouraging a work ethic rather than encouraging people to work hard and earn their own way
140306	They should have worked harder to protect voting rights when they had the chance. They often don't do as much for people of color as they talk like they will. They don't work across the aisle as much as they should (maybe it's impossible at this time). They should have paid more attention to folks in the middle of the country that are suffering economically because of shifting jobs.
140309	The economy, health insurance, medicare, immigration and the way the green energy is handled
140311	They could do a better job of promoting their values. The republicans have spent 20+ years focusing on gaining power at the state levels. They had a stragety & it worked. Look at the Supreme Court. The democrates never seem to have the cohesiveness and ability to stay on point that the republicans have. Dems seem to lack the leadership for long-term stragety.
140312	they are the party of victims, it’s always someone else’s fault for their position in life.
140313	SK
140315	The party has driftedv too far left. They are now against any party other then the Democratic Party.
140316	The squad. The far left.
140317	It is an absolute freak show on who they appoint to cabinet positions and posts in the administration. Don't want my grandkids to look at that and think it's normal!!
140320	Don't like it when they cheat for personal gain.
140321	does not value all life. the unborn. does not put American citizens first. champions only certain groups. [CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)][CHAR(10)]
140323	I would prefer they were more liberal. I see the current Democrat party as quite conservative
140324	They just don't seem to be aggressive enough to change things.
140325	Crime policy, handouts
140331	how far left they’ve gone and there woke ideologies.
140332	extreme socialist politics
140334	Sometimes tolerating people like Bob Menendez. Tendency to play nice even when the GOP fails to do so. Failing to protect Roe v. Wade.
140336	Too much emphasis on cancel culture.
140337	Some of them are too far left and go overboard in their ideas on policy and foreign affairs.
140339	SK
140343	annoyance of the “ variety “ of genders
140347	Unwillingness to recognize the very real dangers of the world &respond with strength to crime, illegal immigration, and foreign conflicts
140350	demonizing the republicans [CHAR(10)]and abortion acceptance
140351	going sometimes to left, to progressive what make many people uncomfortable. they not very cohesive party .
140352	They have become much to liberal in other areas. The reparations suggested by the ultra-liberal politicians is not viable and is not equitable.[CHAR(10)]Gun control should be thought through and modified, only.[CHAR(10)]
140353	They shut down free speech, increase national debt, allow crime, terrorists, drugs and too many people in our country unvetted and for tax payers to support. Give too much money to foreign countries, have a corrupt DOJ, allow poor education and abortion after 8 weeks.
140356	Stance on crime
140359	Far left agenda that some of them push, taking more taxes to make government even bigger, slew of regulations that hurt small businesses, farmers and other industries. They are moving our country to socialism and we cannot allow that to happen. Providing for illegal aliens, housing, food, phones, school etc. It's overwhelming the system.
140360	finances and border patrol
140362	not for traditional family values, trying to take parents rights away
140367	I would like to see them be a littld more aggressive.
140370	They don’t follow Biblical Marriage, are for abortions and not conservative!
140372	Being too soft on criminals.
140374	anti 2 A policies. Economic/foreign policy. and forcing other views in the name of “equality” and “social justice”
140376	they seem to be stuck on the same views..nothing new..they dont offer anything other than the same...too many old people with old views..nothing new with the party..same thing from the 70's. they dont seem to have a strategy that i can see.
140377	Fragmentation within the party, passivity when it comes to understanding disillusioned and blue collar voters, not having a good reach or strategy when it comes to rust belt states.
140379	spend to much, raise taxes and make living unaffordable
140381	The democrats dictate how people should feel, think, behave, and live. They're totally clueless what people really want or need. They're idea of freedom" is being just free enough to get a job, pay taxes, and blindly follow and fund their next cockamamie scheme that usually ends in disaster, mainly for the people, and ends up enriching the ones at the top, which is typical of every socialist regime in the world."
140385	They lack leadership and the ability to work across the aisle.
140386	big government, untruthful,
140388	Sometimes they don't control their off the wall reps in actions and words[CHAR(10)]Need to be stronger
140389	They always want to raise taxes and are easily pushed around by the government or foreign nations.
140390	Instead of a hand UP to people who need it, sometimes they do hand OUTS
140391	Not always willing to work across party lines to get things done.
140392	their ideas on abortion and outrageous other strange approvals
140394	Leaning more and more towards socialism.
140396	Everything!!!!!!!!!!!!!
140398	view on abortion, how they handle the economy, ideals
140399	I didn’t like that Biden dropped out so late but luckily it seems to be working out.
140403	Everything they do is terrible.
140405	they act like wealth for anyone but themselves is a bad thing, they like spending other peoples money, they seem to think they need to try and solve every problem in the world
140408	too much focus on selfish things like identity groups and taking away from those who work hard to give it to the lazy.
140414	They tell too many lies and try to take credit for what someone else does or says. Just look at what they have done to the economy and national debt. Voter fraud in the last presidential election. Standing behind Joe Biden and lying about his health when you can tell he has dementia by just looking at him and letting someone else run the president office and making a puppet out of him. That's nothing less than adult abuse. All of them should be charged for abuse.
140415	spend too much money they don’t have
140416	Failure to acknowledge or accept failures when plans or procedures do not work well.[CHAR(10)]
140420	they are just too far left they don't think much about this country
140423	too much of nothing being done for the lower income people
140425	Putting certain social issues that don't pertain to the majority of people above the issues that effect all or most people.
140427	the policies/laws they vote in are hurting the working class Americans. America is hurting and the democrats are putting us there.
140428	Slow to understand and react to the needs of the people.....though often not given credit for efforts along those lines.
140429	taking away women’s rights. letting drug dealers run wild. how bad the economy is. how much we struggle just trying to survive. food prices are outrageous, along with everything else.
140430	they are out of touch with reality
140431	Pro abortion - allowing women to abort their fetus.
140434	They used to support education more than they do now. We need to get back to the basics again, especially teaching cursive writing again!
140437	Subversive, detrimental policies that masquerade as 'feel-good' common sense" when in reality they strip Americans of our rights and freedoms; public relations personnel who are skilled at double-talk and deniability; no clear agenda other than consolidating and maintaining political power."
140439	the debt we have [CHAR(10)]crime is a mess
140440	Too liberal. I don't agree with their stand on abortion, border policies, or the rampant crime in this country, especially in democrat lead cities.
140443	leftist big government policies. lack of support for international allys. Socialist viewpoints on health care and abortion which is ruining the family unit. Children are being manipulated and confused by gender confusion. It's not the democratic party it used to be. Illegal immigration is way out of control and American tax dollars are being given to them.
140445	Some Democrats are still out for their own self-interests
140447	DEMOCRAT ARE TURN AMERICAN COUNTRY INTO COMMUNIST !!VERY BAB INFLUANTS !!
140450	There support for funding sex changes of prisoners using our tax money
140451	inability to compromise, they profess to be more knowledgeable then ordinary people
140452	Failure to recognize the degree to which federal government regulatory agencies tend to get captured by those entities they are supposed to regulate. Failure to recognize the practical limits of federal regulation. Failure to take adequate account of the federal budget deficits.
140456	they are causing the country to rot by giving validity to extreme ideas
140457	it is too broad of a camp with some people extremely liberal that seem disconnected from the country
140460	open border policy, spending, foreign policy, crime
140462	democrats throw away tax payers hard earned money and put it into programs for illegal aliens. I watch lower income families receive free college for their children while I struggle to pay for mine, because I barely don’t qualify
140463	everything. they are fucking stupid.
140464	They are too soft on immigration. I’m OK with legal immigration but right now the border is out of control and the Democrats need to do more to restrict illegal immigration.
140465	messaging has been weak
140466	everything, there policies
140467	In both parties, there is a central cadre of bureaucratic professionals who appear to be insulated from the realities of American Life. They are there to raise funds for X, Y or Z candidate and the Party... and for their own perpetual salary. They laud the work of the folks on the street whooping up the vote but, in the end, don't care past the election. Careerist is an ugly term, but appropriate. I'm hopeful with Walz joining the ticket.
140471	pro choice, no border control, anti guns, pro gender choice.
140472	just bad policies and try to push things on is hard working citizens. Our economy is terrible and I've lost money during the Bidenomics. We get more and more freedoms taking away, just because of feelings. our country is in serious trouble I feel. I pay 5.00 for a small bag of chips, which were 2.00 four years ago. I'm really heartbroken to see where our country is right now. So much hate and lies coming from mostly the Democratic side.
140475	The own the media except FOX News, X, Truth Social & they lie, lie by omisson, distort truth...Ex. Russian Delusion about Trump; spend too much; get us into conflicts around the world like funding Iran; race card politics; manipulate Afro-Americans & other minorities; buy votes with policy of free this, free that; diversity hiring rather than merit hiring; horrible humiliating exit from Afghanistan; Democrat mayors don't do anything about riots in cities: 2014, 2015, 2020; sanctuary cities, open border, no cash bail; Gender care & sexualizing children in schools; women in men's sports, etc, etc.
140476	Position on gender issues, economics, pretending to be for the people when their governance borders on fascism with all the executive order, partisan DOJ and FBI. Bringing millions of immigrants into this country and trying to allow them to vote. Loud mouth AOC and her cronies. I despise the current Democratic party
140477	economic development moves slowly…too slowly
140478	Their liberal, marxist/socialist, DEI, abortion issue, immigration, economics, anti semitism, pro islamic support, gender dysfunction, transexsual lunacy support, lawlessness pro criminal, anti victim, big tech support of censorship, lies and lying about what any conservative says, projecting all their lies unto the opposition.
140479	Their refusal to protect children/minors: [CHAR(10)] allowing children to make life-altering changes to their bodies before their brains are fully developed = endangering children.
140480	Completely against the Bible and live that way and try and make everybody else live that way too
140482	status quo wins out over reforms for workers and the middle class because of corporate lobbyists and wealthy donors
140484	to far left reguarding the economy
140486	their views on things
140487	Not as disciplined as Republicans in voting or messaging.
140491	Political motives often seem to take a front seat to outspoken beliefs.
140492	they give away everything at the detriment of the country.
140494	that they arent strong enough- no balls
140496	weak on the economy, taxation
140497	there desire to have more and more government control over everything
140498	radical left, socialism, open border, election fraud
140500	there’s nothing to like, they are not trustworthy
140501	Not handle the war on drugs. Actually making it worse by legalizing them. Poor stance on national security. Most support abortion. Local crime rate increasing with them in.
140502	They are moving past the socialism into communism gradully.
140504	Their foreign policies and handling conflict of Israel and Palastein. Their aggressive policies against Russia, China .Poor handling of economy and inflation.
140506	too liberal in some areas
140508	Lack of fiscal responsibility
140509	They are a bunch of liberals that think men can be women, they left the border wide open, and they support abortions
140510	Their support for transgender, their views on abortion, their corruption, how they steal elections
140511	The welfare programs are too broad and do not correct what is wrong with the system. The party doesn't support the economy in a meaningful way to help correct the issues going forward.
140515	the open border, sanctuary cities, high crime, they push abortion constantly, terrible homeless problem, 2 wars , high cost of living,
140518	poor border patrol, pro-choice, pushing radical left ideas onto kids, transgenderism, trying to take away 2nd amendment
140519	Dishonesty, disregard for the middle class, win at any cost values, antisemitism, media bias, green new deal.
140520	the left stance on crime. where our democratic cities stand today.
140521	there ideas on jobs, taxes, and trade.[CHAR(10)]
140526	They've been better at this as of late but it's always felt like they're spineless. they let donald trump railroad the supreme court and now this country is screwed for the foreseeable future.
140528	The radical progressive left have hijacked the party. [CHAR(10)]Their leaders are more fascists than democratic.
140529	It stands for abortion which i am against.
140530	their abortion policy is horrific
140531	They are all followers and do what they are told. Democrats need more leaders and not followers! I do not believe they care what’s good for the country!
140532	to much give away orograms
140534	Is still too moderate in addressing issues like needing more corporate oversight. Still too cosy with wealthy donors and too connected to Wall Street. Need to do more to address police violence and anti-black racism.
140536	They've done a very poor job with Education, Gender Identitiy, Title IX, Law Enforcement, Immigration, Foreign Relations.
140539	They are leading us down the path to marxism/socialism.
140540	these days, everything
140542	their failure at committing to make progress in the countey
140543	Money in politics. The DNC is not as corrupt as the RNC but in another 10 years it probably will be. [CHAR(10)]Saying they will do things and then not do them once their donors tell them not to (Single Payer).
140545	Way too chicken shit to fight fire with fire against radical right wing influence.
140547	LGBTQ，Welfare abuse, identity politics, political correctness
140548	The age of the general leadership. There is a marked lack of representation of the Millennial generation and it is upsetting because we are the current adults who are working most closely with young voters.
140549	Lack of concern towards to Gaza crisis.
140550	they tend to get caught up in the 'perfect' candidate or position which i believe leads to unproductive infighting.
140551	in 2021 & 2022 we lost a woman's right to choose, in 2023 we lost affirmative action.
140553	needs to be more united
140554	immigration[CHAR(10)]some gun legislation [CHAR(10)] [CHAR(10)]
140555	No since of direction.
140559	They force their social politics on others
140560	pandering for votes, illegal methods, identity politics
140561	their entire agenda
140563	Sometimes too willing to support big monied interests over working and poor
140564	Too liberal, pro-abortion, too free with taxpayer money
140566	Pushing this country to bankruptcy both economically and morally
140567	hypocrites, pot stirrers, corrupt
140568	Failure to work at compromise with opposing viewpoints.
140570	Wish they would support & help diverse lifestyles but also work on appealing to a broader population
140571	Often too liberal or too “woke.”
140573	everything. they are fake and embarrassing, our country is being run by morons that dont do anything good at all
140575	I don’t believe they have Americans best interests at heart.
140576	open borders, corruption
140580	Failure to effectively express accomplishments and future programs
140581	Certain far left agenda from the squad
140582	economic problems and immigration
140587	too liberal with fiscal policy
140588	their stances on abortion, the border, trans issues, crime, inflation and paying off student debt
140590	everything they go against everything a president stands for and is against America
140591	I hate the whole party concept. They have agendas instead of doing what is best and right.
140593	It occasionally seems like there are too many cooks in the kitchen, and not enough getting done.
140596	Democrats give the appearance of ruling rather than governing, thye love to tax the middle class for all thier give away programs, thier stance on abortion into the time of birth is appalling,thier stance on allowing children as young as 8YO to make radical decions about thier sexuality is appalling, thier stance on education is abysmal. While welcoming illegals into the nation the correct way is one thing bringing them in to harvest a voter base is not.
140600	They have lost their ability to govern. They are taking on social issues that they shouldn't get involved in. Fix the roads. Fix education. Make the cities safe. Upgrade the electric grid.
140606	Allowing abortions. Adapting to those that want to change morals, but not allowing acceptance of those against the changes.
140607	Certain progressive policies of the DNC can lead to division and can be seen as contentious.
140609	they do not stand their ground when it matters most!
140611	THEIR HIDDEN AGENDAS AND THE FEW BOSSES THAT CONTROL AND PROJECT AND SUBSTITUTE THEIR CONTRIVED NARRATIVE FOR TRUTHS.
140613	No border security. Weak on national security. Increased bureaucracy. Weak on economy and inflation. Way to Progressive, worse than pure communism. will say and do anything to be in power. Willingness and want to change the foundation of this country if it suits their goals.
140614	They struggle with general messaging as they have a wide coalition.
140620	See my previous comments
140622	This isn’t necessarily about Democrats, but the Party. The Democratic Party is ran by people that don't really care what the general public wants.
140623	They are not doing their jobs right.
140625	border security, economy, corruption, wars
140626	Mainly the high cost of living and the way the economy is so missed up you can't even afford to live decently no matter how hard you work.
140627	SK
140629	Pro-choice, weak immigration policy, weak on crime, DEI emphasis, high taxes, affirmative action, lack of military support, weak foreign policy
140630	Trying to equalize classes of families, taxing the lower/middle classes more than high classes and spreading the wealth on too many systems that simply don't have as great of an impact.
140631	They have a tough time agreeing on things, and acting on the necessary steps needed to win.
140633	both parties seem more concerned with smearing the other party than getting any actual work done
140636	it’s still held by long term politicians
140637	its being taken over by the liberal left
140638	to woke, giving way to much to illegal immigrants and not helping American citizens
140639	They seem to have lost all common sense!
140641	ABORTION LAWS, IMIGRATION, ECONOMY
140643	[CHAR(10)]Yes, please read my prior complaints re the Democratic Party - e.g., re suppressing Third Parties, not working to eliminate Citizens United for funding campaigns, not working, b.t.w., to eliminate the Electoral College, not working to put caps on profits in order to balance the economy; [CHAR(10)][CHAR(10)]More: not working to make BigCorpora pay their fair share in taxes; not working to democratize where our taxes go: in other words WeThePeople should have a say: approx. 50% of our taxes go to the Military Industrail Complex(ity) for WAR!! How disgusting![CHAR(10)][CHAR(10)]Not working for the USA to rejoin the ICC - and fully so this time. All the big or potential WAR CRIMINALS and/or HUMAN RIGHTS ABUSERS REFUSE to cooperate with and join JUSTICE via joinig the ICC: USA, Israel, China, Russia and a few more. Go figure. [CHAR(10)][CHAR(10)]Democrats did very well, though, during the Pandemic: I appreciate how they pulled us out of Trump's mess in dealing with the Pandemic; tRUMP's approach contributed to thousands of deaths that did not have to happen if he'd gotten on it" and done rightly re vaccines, equipment, proper information, etc., etc.[CHAR(10)][CHAR(10)]"
140645	Progressive policies. [CHAR(10)]Politicization of the Supreme Court. [CHAR(10)]open borders[CHAR(10)]Dual justice system. [CHAR(10)]Excessive Executive Orders. [CHAR(10)]Government bloat and excessive regulations. [CHAR(10)]Runway spending. [CHAR(10)]Federal abortion policy- states rights
140646	I dont like the indecisiveness of Joe Biden
140648	not communicating their accomplishments in media enough to reveal what the republicans are actually trying to do in taking the country back to pre Civil Rights
140649	the party doesn’t share my beliefs or values. Seems very radical.
140650	They tend to put ideology over unity and sometimes bend too far to extreme views.
140651	de la forma que ayuda a veces regalan el dinero
140653	Their leftist ideology, their desire to make America socialistic, and their destruction of Americas institutions, traditions and history. In addition, the brainwashing and indoctrination of our children and college students.
140654	Their view on important issues and many of them are not in politics for the right reason!
140655	soft on crime. bad open border policies. no good economic policies.
140657	It has changed greatly over the years to become a very liberal, progressive group.
140658	communist have ruined our country
140660	open freely the border[CHAR(10)]easy on criminals[CHAR(10)]high tax
140661	abortion, higher taxes, more government presence, more immigrants and immigrant rights, higher national debt
140663	Is not bringing us the best leaders.
140664	goe against the word of our Savior
140666	They seem to be getting too liberal. I also think because of the diverse background of the democratic party, it also causes them to frequently be in disarray. I noticed the republicans are always sticking together and united solidly. Democrats also sometimes play too nice and republicans take advantage of it.
140668	only care for themselves and not the country. lies about most everything they talk about. steal policies to gain voters and then do not follow them
140669	can be a little extreme sometimes
140670	they are giving immigrants the same right as citizens they are treating outsiders better than a veterans and our children
140674	Everything. They are basically Marie Antoinette saying 'Let them eat cake'. I feel they have a genuine desire to help, but the help they offer comes at a price and consequence to others that they do not fully consider. Their lack of practicality, foresight, and understanding of what the country needs are all major reasons I will not support them.
140675	open borders, failed economy, their war on oil
140677	put every country a head of United States. they have gone so far right it’s hard to agree with anything they say or do. they are totally destroying the middle class
140678	needs to provide mechanism to get younger people in policy development
140679	Everything![CHAR(10)]Immigration[CHAR(10)]Finance[CHAR(10)]crime
140682	open borders, multiple wars, economy, stock market.
140683	They knew all along Biden was slow & couldn't really carry on as President & Kamala & all the liberal press & Tv lied about it until the debate with Trump. They were never really honest with the American people. I just hope he doesn't do anything stupid before he leaves office??
140685	They also fall into the horrible habit of backbiting their 'opponents' during election races. They can be dogmatic about some issues.
140688	EVERYTHING. Don't like the way they handle things. It is one sided for the Democrats. What they have done to the people of this country is terrible.
140689	they are a threat to the republic, they appear to be following a socialist agenda
140692	They may be a little too liberal in certain areas. But I'm older and sometimes find change and acceptance of certain things alittle difficult.
140696	Lack of border control, abortion until birth and after policy, socialistic econ policies
140697	Liberal policies on economy, immigration, abortion, and weak foreign policy
