V240001	V241110 - PRE: What is it that R likes about Democratic Presidential candidate [text]
140236	Her values align closely with mine with regard to families, women, and the law. Also, she is not Trump.
140238	She's not Donald Trump
140239	I LIKE ALL HER POINT OF VIEW. I LOVE SHE STANDS WITH WOMEN RIGHTS
140243	If Harris is elected POTUS, the GOP may finally figure out that continuing to vote for Trumpist candidates is a losing proposition. But ... it would probably need to be a clear blow-out victory for the GOP to break it's ensorcellment with Trumpism. I have my doubts.
140245	Yes she's competent smart has integrity and will fight to save are democracy from Trump Puten the fascist Republican party the fascist American oligarchs and the fascist white Christan" nationalists who supported trump's failed coup attempt to stay in power and bring down are democracy and are all out to try again. They may succeed this time. And yes Biden is right, if Herris wins there will be violence from the mother fuckers. "
140250	democratic. a woman
140251	SHE IS VERY INTELLIGENT COMPARED TO DONALD TRUMP.
140252	abortion rights
140254	she is not Donald trump
140258	Her stance on health care, immigration, and lgbtqia+ rights
140259	Her lies about the border is under control
140260	She represents what I want fir the future of our country
140263	1) Her background as a prosecutor[CHAR(10)]2) She seems like she will be more level-headed than Trump, as in bringing less inflammatory remarks and more mature statements that doesn’t divide the country. [CHAR(10)]3) She has been around for a while and knows how to operate the political system to affect change
140266	We have never had a female president, a change would be nice. I am not certain on what she stands for and have not been up to par with any news lately. I still believe in a democracy but am concerned of a totalitarian state for our country.
140267	too liberal and does not know what she is doing. I do not trust her to run the country. she is too flaky
140271	She seems like a decent individual who evaluates policy positions for effectiveness and who I trust to do a more than competent effort as president.
140275	cares about people more than money, repeats women’s rights
140279	she is in line with my views for this country and she is smart experienced also her moral standards are way higher than Donald Trump
140280	Intelligent, kind, honest, hard worker, good ethics, positive attitude, great defender, professional, would represent our country w/ integrity…..
140282	She sounds like she is ready to be President. So far she hasn't talked about Donald Trump or that I have heard. She has answered back when he has said something to her directly, but he only says crap while on the campaign tour. The debates should be interesting.
140283	Women’s rights, childcare tax credits
140291	She is not Donald Trump. She's a woman and not white. She will not cause the problems that Trump would and she is the most electable of the alternatives to Trump, since this is really still only a 2 party system, since the other candidates would never win.
140292	she’s younger and knows what is going on
140293	Abortion rights
140295	She’s not Donald Trump.
140296	She is a woman and we need a change
140302	She’s earned her way, lots of political and judicial experience.
140305	Her health care policy stance.
140306	She would work to make things fairer for everyone. She would support climate protecting laws. She is not Donald Trump!
140310	well spoken and confident not wishy washy
140311	She has demonstrated her commitment to a life of service on behalf of her community - whichever that community is. She has a great work ethic. I admire and trust the people that have worked with her and know her and openly declare her to be dedicated to her oaths and to whatever service she undertakes. She is intelligent and strong as well as empathetic.
140316	She's not Trump. She seems like a decent person who cares about others.
140320	While she has about the same aims as Biden, she would bring a lot more energy and joy to our political landscape.
140322	She is an arrogant liar
140323	she appears to be a positive person with good intentions
140324	First to mind - she supports reproductive rights. In general she is more in line with my views on social issues than the other viable candidate.
140330	HBCU graduate[CHAR(10)]Democratic[CHAR(10)]Black Women [CHAR(10)]Student Loan forgiveness [CHAR(10)]Women's right to choose abortion.
140334	She comes from a middle class background and has spent her career serving the country. I believe her policies are inclusive and designed to uplift and protect everyone. She is highly intelligent, strong, determined and experienced and will surround herself with competent people.
140335	SK
140336	She won't destroy the government like Trump promises to do. I think Biden did a great job with the economy and those efforts should be continued. I love improving the economy from the bottom up and middle out.
140337	She will be advised by good people like Joe Biden and Barack Obama. She has a good heart and head on her shoulders and will try her best to keep the Trumpers from destroying our freedoms.
140344	iA Woman President
140345	Shows compassion to monitory population. cares about the middle class. policies allign with my beliefs.
140348	womens rights about health issues
140349	Weak on boarder
140350	A woman who is multicultural
140351	finally americ@ can vote for a women, it’s time . I think she will b3 a good presid3nt if she stay in the middle
140352	1. She is NOT Donald J. Trump_2.She supports womens' reproductive rights _3.She appears to be a thinking person, who can weigh the pros and cons of various policies put in place or proposed and modify her position on them
140354	Abortion rights, younger candidate, I'm extremely excited to vote for a woman President.
140357	Trustworthy For the People
140363	From poor migrant parent , education, D.A, Senator, V. President
140365	She isn't Donald Trump is a big selling point. Picking Tim Walz as VP is another.
140366	-- She is not Donald Trump[CHAR(10)]-- She represents a fresh start and a new generation [CHAR(10)]-- She is highly qualified and prepared[CHAR(10)]-- She represents the Democrat platform which I agree with[CHAR(10)]-- She will preserve the US as a democracy [CHAR(10)]-- She is not Donald Trump
140367	She is sane. She is intelligent, and certainly Trump is dangerous, incompetent, and could care less about people, government, he is in it for himself, and could card less about the voters.
140371	she is a woman.
140372	Her humanity and her intelligence.
140376	educated, has experience as a prosecutor. she is refreshing. she has the potential to be the first female president of the united states and she is younger than joe biden
140377	I followed her career since her senate days. She is capable, determined, extremely qualified, has long experience in public service and governance of the country from being GA to senator, and now a vice president. She is the first woman who has a real chance of holding the highest office in the country, although I am not voting for her only because she is a woman.
140378	her demeanor and her experiance as a leader
140384	her views strongly align with mine[CHAR(10)]
140385	She is not Donald Trump
140386	so many things. She is very unfit for her current position much less that of president.
140388	Protect womens rights[CHAR(10)]supports unions and the middle class[CHAR(10)]From what I can tell, she doesn't tell one lie after the other and calls derogatory names[CHAR(10)]supports Ukraine[CHAR(10)]cares about the country and its people
140389	She seems like a well educated leader.
140390	Mosr of her policies alogn with my own values.
140391	Her dedication to serve others and the fact that she is NOT Trump.
140394	She is pro fracking.
140399	intelligent, would put the country before her own self interests, supports women’s rights, supports the lgbtq+ community, supports equality, has worked in the past as a prosecutor to keep the community safe
140400	The fact that A) she is a woman B) she is a person of color C) she is a lawyer who is stood up for things I believe in D) she is not homophobic, misogynistic, racist, or classist E) she seems to actually care about people and our nation's future.
140404	she is for the people
140409	experienced as a prosecutor, representing racially diverse groups
140410	Approach that we all matter.
140411	she is well spoken, experienced and is a strong proponent for womens rights.
140412	Smart, knowledgeable, great attitude, she is perfect.
140416	I hold in high regard her interest in following the rules of law, interest in the care and welfare of others, her lack of fear for bullies and cowardly people in government.
140419	good words to help the people
140423	difference in chain of command
140425	She seems like a strong and honest person.
140426	she is a Democrat and I always vote democrat
140428	I do believe she is sincere and has democratic values. Helps workers with housing, wages, childcare. Willing to listen and look for solutions.
140431	Stand on climate change.
140432	women’s abortion rights
140436	honest and not vengeful
140441	she is for women’s rights
140445	Her age, caring about the middle class, intelligence, morals, etc.
140446	nothing, I will not be voting for her
140451	she is intelligent, has a sense of humor, is down to earth (not self absorbed), listens to advisors while capable of making up her own mind and is not narcissist. She demonstrates leadership.
140452	She seems competent and understands what it is to be President. I agree with many of the ideas she expresses, and appreciate her positive approach. She has regenerated enthusiasm for many voters, including younger potential voters.
140454	She is a woman and how she stands on abortion
140455	She is very strong and positive! Also much safer then voting for Donald Trump which is very scary.
140457	support for the infrastructure bill that was passed
140461	she is not trump and I feel democracy will be safe
140463	she was never there to support Biden.
140464	Abortion rights
140465	experience, integrity, intelligence, her values, positivity
140467	Voting Rights[CHAR(10)]Women's Rights[CHAR(10)]Abortion Rights[CHAR(10)]The Rights of all Americans not to be subjugated by Oligarchs and the wealthy who want to destroy our rights not to be just a serving class".[CHAR(10)]The real list is huge..."
140468	SK
140470	She's an honest woman. It's time we had a woman in the top seat. Her qualifications are excellent as well as her experience.
140474	Her commitment to upholding Democracy and her unwavering opposition to Trump and the bad actors in the republican party
140479	She is a woman. She is brown. She seems to have done a good jov in her prior career BEFORE becoming VP.
140482	woman, person of color, experience in public service
140483	her work on green new deal
140485	being a member of the democratic party
140487	Experience. And she is NOT Trump.
140488	Her character, stances on abortion and women’s health, and that she’s not Donald Trump
140491	She is not Donald Trump. I tend to agree with her on social issues. She is a woman of color. She is smart.
140494	The Dems can do better but I like her and she's a female- I hope she doesnt screw this up !
140496	the main reason is that she is not Trump.
140503	I believe she'll bring good change to the united states
140504	Minority and a woman ,better a little than Donald trump. Otherwise nothing in particular about her policies and previous experience. When she was attorney general of California, many innocent people were wrongfully faced criminal prosecution .[CHAR(10)]
140505	abortion, climate, border
140506	cant think of anything actually
140508	She is level headed
140514	I like her. she is a Democrat. She is not Donald Trump
140524	she is not Donald Trump
140525	Strong Values for the People .
140526	she's not donald trump
140527	Experience as vice president, her integrity
140530	She's a woman and I will always vote for a female candidate simply because they're a woman
140533	that it would be history first woman president
140534	She's smart, hard working, she's ethical, she is a public servant, knows how to serve a large diverse constituency, and will surround herself with smart people. Most importantly she's not Donald Trump.
140541	she is very into woman's rights
140542	I forgot the question
140543	I wanted her instead of Biden 4 years ago. He defeated her and made her VP since she came in 2nd during the democratic debates. Shes more progressive than Biden. I loved how she used to sharply question people when she was a Senator, but without being rude.
140545	A woman, experienced, energetic, and realistic.
140548	Abortion rights, racial equality, LGBTQ rights, worker’s rights.
140549	Stances on issues such as Reproductive freedoms, gun legislation, LGBTQ+ issues, etc. Also, a sense of decency and a presidential “air” - she carries herself like a president, not a lunatic.
140550	She is qualified, understands the laws of the US and believes in basic himan rights for all.
140551	I feel she can make a difference & she’ll be better & do better then any of the other candidates being that she’s been our VP these past 4 years & seen what she has to do.
140553	empathetic, relatable, people-oriented, tough
140554	competent[CHAR(10)]good moral character[CHAR(10)]good leader[CHAR(10)]smart [CHAR(10)]articulate
140557	She is not Trump
140558	She has a long history of public service. Her policies are geared towards helping U.S. citizens; not obtaining power for the sake of having power. She’s extremely intelligent and articulate.
140559	She is not Donald Trump
140561	her intelligence is sub-par, worse than Biden. Crooked
140562	I agree with the vast majority of her policies. I believe she will surround herself with wise advisers and seek their council and listen to them.
140563	Intelligent, experienced, solid good values, strong empathy
140565	Just the opposite of Trump. Well-informed, interested in helping everyone, and honest.
140569	women rights to choose, her agenda on improving education and supporting teachers, laws against criminals
140570	She is articulate, energetic & qualified for the job of President.
140571	She seems to get and be for the working/middle class. I’m hopeful her policies will promote actual help for the middle class not some trickle-down economics that keep the rich rich and the poor poor. (Things like capping Insulin prices.) The rich don’t share their money- look at the crazy gains CEO’s and businesses have made. Their percentage of growth is insane compared to the gains of the middle class and poor!! She is super pro-choice and articulates so well what that is and means for women, men, and our country! She represents hope and a bright future for my daughters and all of America’s daughters!! She is energetic and can promote hope and excitement. She works hard in the face of adversity and is a strong woman who sees a bigger picture than Trump. She’s not a pathological liar. She’s not for violence. She feels like more of a protector. A protector of people and our nation.
140574	Calm demeanor, level headed. Not the best option but better suited than a dictator.
140578	belief in women’s rights and the freedom to choose
140580	Her Sanity, Experience, Honesty, and Ethics
140581	All her policies are about helping everyone. She has an excellent track record when it comes to getting justice and putting people first!
140583	she supports abortion rights, infrastructure bill
140585	She's extremely bright, cares about others, sets a good example, is looking out for the country as a whole, has similar values to mine, will fight for women to have control over their own medical care, will look for ways to support people who need it.
140586	She tells the truth. She is for everyone
140587	honest, sincere
140589	woman middle class against Donald trump
140593	She is working on moving our democracy forward, past all the archaic policies which haven’t changed since inception, when the country has certainly has.
140594	her character and honestly I think she means well
140598	about middle class and how she can help
140601	She is professional, well spoken, experienced in law, and exhibits moral standards.
140607	She articulates the principles of freedom, liberty, and equality. During her tenure as Vice President, the economy expanded, and millions of jobs were generated. She played a key role in fortifying Obamacare, advocating for infrastructure deals, and guiding the country through the pandemic. Furthermore, I desire to be represented by a robust leader who fulfills promises and epitomizes what America embodies.
140609	great speaker. her values align with mine
140612	she is not Donald trump!
140614	Abortion access protection, competent and measured leadership, and possibly Supreme Court reform and or scrutiny.
140617	She has a horrible way of bending to the the people to please them [CHAR(10)]
140619	She is the only person in the race I feel confident in.
140622	She is not Donald Trump
140624	She is not Donald Trump
140627	She has experience as a prosecutor, Attorney General (CA), Senator, and now Vice President. She does not name call, bully, lie, or exhibit so many of the behaviors which are consistently in evidence with Donald Trump.
140629	Pro-choice, higher taxes, DEI, Affirmative Action, Illegal Immigration
140631	Her compassion. Her actual policies that are aimed at helping move America forward not backward. Her financial plans. He inclusion plans. Everything.
140634	She’s a Democrat and I agree with her policies
140635	Her Honesty, Professional approach to problem solving, an most of all her Intelligence.
140636	her track record as a prosecutor, her professional demeanor and her ability to communicate
140637	She is a radical far-left liberal
140641	SK
140643	[CHAR(10)]KAMALA Harris has much more interest in the People (truly) on domestic issues than Felonious-Trump (a liar and manipulator). She is personable, smart. However, she did not prosecute Mnuchin of Calif. who corrupted the housing situation back in approx. 2008-09. And she over-prosecuted Black offenders for small crimes that White offenders got away with or got lighter sentences for. I agree with her prosecuting/penalizing parents of truant-kids to an appropriate degree (depending on each situation). [CHAR(10)][CHAR(10)]HOWEVER, I'm waiting to see if Kamala Harris will change course re foreign policy/ISRAEL-GAZA/WestBank/Jerusalem. I've been involved in following (& being active for Peace) in this conflict since around 2006. I've grown to see the horrendous fraud on the American Public re the truth of what this conflict is about, yet the World generally sees the issues clearly, more accurately as they/we stand for Palestinian Liberation and a Two-State (or other viable) solution. [CHAR(10)][CHAR(10)]The corporate/money-motivted USA Gov't/MilitaryIndustrialComplex(ity) refuses to see the obvious. I WILL NOT vote for Kamala Harris unless she comes out before the Election for a USA full-Arms Embargo against transferring weaponry to Israel for killing Palestinians. I've written to her saying that (& giving opinion re Israel/Palestine) via www.Whitehouse.gov/contact . [CHAR(10)][CHAR(10)]Netanyahu is a mad-man not unlike Hitler. Hamas is not pristine, but they are more an Armed Resistance than a Terrorist. USA leaders along with the heartless/nasty/hateful Israeli leaders have something else in mind as they support this Genocide and thumb their noses at the ICJ and ICC. America and Israel are the Bigger Terrorists!! [CHAR(10)][CHAR(10)]I'm sick and tired of USA's constant wars and manipulating other countries, installing" dictator leaders in other countries, killing civilians left and right in whatever they put their triggered fingers on! www.AddictedToWar.org America's Gov't are Imperial Corporate PowerMongers who are in essence WarMongers.[CHAR(10)][CHAR(10)]I am sickened by America's stupidity and lack of morality/ethcis/legality about Israel/Palestine - and involvement in a Genocide. TOTALLY DISGUSTING!! It harrasses, hurts, disturbs, and makes many of WeThePeople anxious and upset in our daily living. Some friends (and I, as well) don't sleep as well, as we feel compassion for the Palestinians enduring this 21st Century Holocaust in the name of "defense", supported by Terrorist America. Absolutely ABSURD! [CHAR(10)][CHAR(10)]Sen. Bernie Sanders is the main USA leader who had it right when, months ago, he called for the USA to withhold all weaponry and funding for Israel in order to lead to a CEASEFIRE, RETURN of Hostages, AID for GAZANS et al., and a PEACE Solution (e.g., Two-State). [CHAR(10)][CHAR(10)][CHAR(10)]NO, I won't vote for Harris if she does not come out soon for withholding weaponry & funding for Israel's horrific GENOCIDE. This issue is so extreme and important beyond the good things she might try to implement--like removing abortion bans, free college, paid leave, better healthcare (or Single Payer even), better pay, gun control, etc.--most of which have to go through Congress anyway. And most of Congress, esp. Republicans, are against these things and won't vote for them. [CHAR(10)][CHAR(10)]We have a corrupted Congress and Election system too. Citizens United and NOT using RANKED CHOICE VOTING taints our system. And the TwoBiggieParties (Dems&Repubs) suppress the Third Parties to an UNdemocratic Degree---won't let them debate with them, try to disqualify ballot access, and the mainstream corporate media goes along with this--ignoring main Third Party candidates who are, it appears to me, more honest, more caring, more accurate, more ethical, more intelligent than the BigTwo Prez Candidate who obey their corporate masters in order to "get ahead"! It's a sham.[CHAR(10)][CHAR(10)]I'm very interested in EU election systems: much more intelligent, most parties have equal footing, and there isn't all this money thrown around. Scandinavia seems to be very democratic. I'm hoping to visit Sweden to learn more about their more Social Democracy way of life--more my style, more equitable, compassionate, efficient--leading to less crime and homelessness. Scandinavian countries are, by in-depth studies, happier countries because of the way their countries are run and how their elections are MORE DEMOCRATIC than the BigTwoParty near-dictatorship here--that suppresses other parties...with MONEY being a BigFactor. [CHAR(10)][CHAR(10)]Amen! Thanks for reading :) [CHAR(10)][CHAR(10)]"
140644	don’t trust Trump do too has actions .
140646	She was doig very well in the debate against Donald Trump. I watched the full debate for myself after I a clip of it on Facebook.
140647	Women's right to choose
140648	forward thinker, concerned for democracy, better communicator than Trump.
140650	She supports Democracy and the rule of law and the right for people to make their own health care decisions including getting abortions if needed.
140651	ser mujer ,es mas joven
140658	communist who is destroying our country. She has ied about everything including who she is and she is a disgrace. hHer allowed sex trafficking is absolutely disgusting. She should be locked up for the crims shes committed.
140662	Policies, agenda, political experience and track record.
140663	Continuation of Biden economic and environmental policies. A policy of being civil and respectful, and definitely not bringing on choas and calamity on our country as a general rule.
140666	Isn't Donald Trump. I personally don't know much about Harris as she seems to be the VP that flew under the radar with Biden. She does come from CA though I personally feel that the state has been poorly run and becoming way too liberal. I do feel that the democrats have better intentions than the republicans though.
140669	she’s not Trump
140672	Because she supports women's right health care rights.
140673	She understands that this great country, especially the Democratic Party, supports everyone, regardless of race, ethnicity. and reveres the Constitution. She feels the middle class make up the majority in this country and must be supported. She has good feelings for people. She is a good person. She knows how to fight for justice, is well qualified to carry it out. I love her laugh and how she makes me feel good, and can laugh with her. Trump has the opposite effect.
140676	can trust her more than her opponent
140678	younger generation[CHAR(10)]middle class oriented policy[CHAR(10)]reproductive rights[CHAR(10)][CHAR(10)]
140680	she's a woman and i agree with her values about caring about the people and making a difference[CHAR(10)]
140682	I like her personality, I think Donald Trump is to blunt when speaking.
140685	Her stand on abortion rights, her intelligence, energy and enthusiasm, pro-worker policies - for paid maternity leave, better health care, generally for policies that will benefit the less represented Americans who are struggling.
140686	She is the presumably the lesser of two evils.
140690	I agree with her policies. She supports women’s rights.
140692	I like her upbeat attitude. I feel that she will fight for peoples personal freedoms.
140701	ties to Marxism
140703	She is a strong supporter of the working class.
140706	she is a female
140707	Her experience as a prosecutor and not being intimidated by others and most of all pretty factual person. I hate those who belittle others for their jobs, race, culture and haven't seen that out of her. Also I think women are better at seeing the BIG" picture so to speak and more in tune with the detail. "
140709	I am not the biggest fan of Kamala, but I prefer her over Joe Biden. I really like her pick for vice president as well. She is very well spoken and seems to want to fix the issues going on in the U.S. Her campaign made me feel less pessimistic about the election.
140710	female -it's about time a female was President
140715	she's a normal Democrat who endorses women's rights, voter protections, and freedom of and from religion.
140718	I respect Kamala's experience in politics, as well as the fact that she is a strong female candidate. I believe we need a female in the White House. In addition to this, when Joe Biden was the potential Democratic option, it did not feel like a viable option to keep Dems in the White House.
140719	Perhaps more likely to swing a win over an independent candidate.
140721	a younger democrat, smarter than Donald trump, not a maga crazy
140731	She wants to make life better. She is strong, smart, compassionate, effective, and a good person
140732	Platform. Pro choice, pro democracy, pro middle class, pro veterans, decent knowledge of foreign affairs & good relationships with foreign leaders, will not sell Ukraine to Putin.
140734	Many things but the primary one being that she isn't Donald Trump
140740	She is personable and capable.
140742	i believe in her values and agenda
140743	Many things. To begin, she's not Trump. I also support her for her positions on reproductive rights, democracy, foreign policy, the border, the economy, and everything else.
140746	She isn't Trump. She has experience and I appreciate her sphere of influence and team, which are critical for a successful leader
140749	she will use all available resources to make the best decision
140752	she is a better choice than Donald Trump because she is a bit more grounded
140757	she is competent, and well equipped for the job!
140759	she isn’t a fascist incompetent like Donald Trump and his cult. she is smart, kind and a capable leader.
140760	I trust her to continue the work began by President Biden whom I admire. She is positive and upright in her ability to maintain our democracy. She will fight for our democracy. She tells the truth unlike her opponent. She is respectful in the manner of politicking. She believes in the right of women to own their choice to choose how they will be treated medically. Men have always had the choice. She will deal honorably with the Supreme Court.
140761	Her party affiliation and common sense.
140771	Strong competent woman
140772	EVERYTHING![CHAR(10)]I agree with her values and her opinions.[CHAR(10)]
140773	She stands for the democracy and order.
140780	She is a democrat and a woman and I like her ideas on abortion being a women's choice. And she wants to raise the minumen wage .
140782	Her views allign with mine, most of the time.
140785	women’s issues / healthcare[CHAR(10)][CHAR(10)]
140788	She stands for freedom, liberty, democracy, seems to be honest and wants to work together on a united front. Cares about women, people of color, lgbtqia people, etc.
140791	The campaign is hyping blacks. I thought we were one nation. Kamala is calling all black people that it is their time.
140792	I think she will be taken seriously globally and brings some sense of basic morality to the office. Flawed, yes, but not as flawed as Trump.
140793	She’s not Donald Trump
140794	equal opportunity
140796	Her positive attitude and her care for the whole community. That women have the right to do what they want their bodies.
140797	Her policies appear to align with the Democratic Party, in particular women’s reproductive rights…
140800	She shows leadership and compassion fir all people and making changes to better all people
140802	Her position on women's issues, the economy, a younger/fresher face. More hope for the country, and she is not a convicted felon.
140804	I appreciate her policies, her belief in Universal Healthcare, women's rights, belief that our country needs to control guns and gun violence.
140806	Competence; issues.
140811	she is the exact opposite of the insurrectionist
140814	believes in the law has a history in government believes in women's rights
140815	Su alegría y juventud y tiene buen background
140817	A more moderate set of platforms and stance on the issues.
140828	first female president
140829	She's not Trump
140832	more progressive views. Not a narcissistic sociopath.
140835	she is educated, she can answer questions without talking in circles around them. She knows more. She is not a criminal
140836	She is not Donald Trump.
140837	creo q es buena en lo q hace
140839	Democratic and I don’t want Trump
140840	she tell the truth
140842	#1 Not trump.[CHAR(10)]Experience as VP[CHAR(10)]Has a large support of individuals who will provide counsel.
140843	Women's right and freedom
140847	Bringing the Country Together and Honesty
140848	She has stated that she is for bringing the middle class back into focus and plans to turn the economy around. Not so much of the rhetoric about the opposing candidates but more for the care of the people and the U.S. Constitution.
140855	She has experience as the current Vice President, she is a strong and intelligent candidate who has also served in the Senate. Her experience includes significant political leadership experience in the state of California. She is very qualified to lead our country.
