V240001	V241176 - PRE: What does R dislike about the Republican party [text]
140203	Mitch McConnell. JD Vance. Donald Trump. Lindsey Graham. Marjorie Taylor Greene. Matt Gaetz. Josh Hawley. Policies on abortion, taxes, voting rights, are unacceptable.
140204	support of Trump, have followed him to become…just like him.
140205	Spend, spend, spend. I don't see them getting serious about addressing spending and the debt.
140206	the abortion views[CHAR(10)]
140209	it seems to be very polarizing both parties. They seem to fight with each other more than try to work together for the better country.
140210	they hella mean to gay ppl
140212	Almost everything. Republicans in office have sold their morals, values and souls to back FORMER President trump.
140214	their values benefit the elite and wealthy. I am neither.
140217	They too follow their lobbyist handlers and bow to corporations and Military Industrial Complex.
140218	backing of genocide, Christian nationalists, racist, homophobic, transphobic, classist
140220	they didn't impeach.donald trump
140222	I don't like the pro-life polices or latest changes
140224	Taxation that does not favor the middle class.[CHAR(10)]Abortion[CHAR(10)]Immigration
140227	their fear of not appealing to the trump base and making him their candidate
140232	Controlled by greedy powerful men.
140233	They don’t always stand in agreement with one another unlike the Democratic Party.
140235	Rhinos
140236	Their support of Trump and their anti-choice stance.
140237	stand on women’s issues
140239	i feel like they look out for themselves. I believe they are just about money and not the people
140243	It's new tilt towards Trumpism, isolationism, anti-NATO, playing footsie w/ dictators, more central government vs. limited government. I could go on.
140245	Along with FOX Trump Puten and all the other fascists in and out of the US will destroy it all if not stopped and held to account.
140251	BECAUSE THEY ALL SOUPORTING DONALD TRUMP.
140252	the way they are doing things
140253	They have miserably failed their constituents on virtually every issue and demonstrated zero backbone when given the opportunity to implement meaningful policy.
140254	they are racists, homophobic, sexist, and focused on keeping poor people poor and letting the wealthy get wealthier.
140255	there are members of the party that don't support others members of the party.
140258	current stance on abortion and the continued limitation of women's healthcare, immigration, and equal rights
140259	I believe that most politicians are about themselves, money & benefits
140260	It’s become a cult. And isn’t in line with the constitution.
140263	They are the Donald Trump party and they have been going along with him allowing them to create an extreme political environment
140264	I dislike the role that corporate money seems to influence the policies of any party including the Republican Party.
140268	the Republicans are NOT FREE from Corruption and seem to also work more to benefit themselves over the interest of Hard Working Americans. I feel there should be Term Limits to root out Career Politicians. They Also as a Party do not seem to stick together. They can appear somewhat divided on important issue.
140271	That theyve become a trump party. stances on guns, abortion, and friendliness towards businesses.
140274	Some have served to long
140275	women’s rights policies, tax favoritism toward wealthy
140276	Yes, they can't seem to nominate a real candidate for president. They based their pick on what they think could win and not the best choice.
140277	The Republican party has been taken over by the Jesuits.
140279	they want to dictate and impose their conservative views on everyone no sympathy for the poor or women that may need an abortion for medical reasons also we had a boarder deal that could’ve been good for the country but they voted it down because Trump told them not to lastly some of these republican elected officials need a morality check
140280	they support Trump, big corps, against climate change
140281	they promise the moon and you only get a poster of the moon ! The Democratic and Republicans don't run the United States of America , Its Blackrock and associates . therefore I don't really care who wins .
140283	Most don’t understand women’s healthcare let alone what’s involved in a pregnancy. They value guns more than the children that continue to die every day. Their concerns like banning certain books appear to take priority vs what the nation really needs to address.
140286	Many of them need to grow a backbone.
140287	they stand behind big business [CHAR(10)]issues
140289	abortion stance
140290	most politicians are corrupt regardless of political party
140291	They are only concerned with helping large corporations, removing protections from regular people and environment, forcing religious standpoints on others, and on the country as a whole. Increased nationalism. Economics over anything else. Corporations being given precedence. No regulations on guns that make life so dangerous in USA. Racism.
140293	Abortion and IVF issues
140295	the lack of access to abortion
140296	All their policies about economy, race immigration and gender[CHAR(10)]
140297	they abandoned their normal ways in favor of MAGA
140299	Their inability to get along with and work with the Democratic Party.
140300	do not always speak up and support each other
140302	Trump and his distortion of reality. Again, he lies and no one in his party will call him out on it. we had a decent bill to help with immigration with both parties agreeing and Trump pushed them into not passing it
140304	I don't agree with their staunch stance on homosexuality and gender identity
140305	Donald Trump
140306	They are supporting Donald Trump, and leaning more and more towards the extreme, like Project 2025.
140310	not the same reliable party I was exposed to as a young man
140311	The refusal of real conservative republicans to fight against the outrageous behavior of the extremists in their midst. Whether through fear of losing their jobs or being the targets of Mr. Trump's thugs, they have stayed silent thus giving all power to MAGA. It is heart-breaking to think that they had 2 chances to rid our country of Trumpism but were more interested in self-preservation. Not very many Profiles in Courage when Trump was impeached.
140312	should be more aggressive on pursuing the Hunter Biden and Biden Crime family.
140315	Like all political organizations, they constantly ask for money. I do not do not donate to any political party.
140316	Everything. They are despicable[CHAR(10)]
140317	Inability to get some true conservative legislation passed without watering down their position and their bills.
140320	It used to be a conservative party--generally the party of my parents. But under the 'orange monarch' is has become unrecognizable.
140321	[CHAR(10)]is not concerned about all the country. does not care about all Americans.[CHAR(10)]does not value life.
140323	the direction they’ve taken since Reagan was president. they say they’re working for the working class, but they’re actions say the opposite
140324	They have just completely caved to their own interests in the sheep's clothing of Christianity and fearmongering. So much lying.
140325	Trump
140329	they did not support trump when he was in office
140331	At times, they are hesitant to do their job.
140332	they do great job in identifying all issues however never bring them to conclusion.
140334	Cultish following and support for Trump despite the fact that many of them know he is unfit and dangerous. Their focus on gaining and maintaining power for themselves and putting party over country. Elevating and protecting incompetent, dangerous people like Marjorie Taylor Greene, Lauren Boebert and others. Packing the Supreme Court with dirty tricks. catering to the ultra wealthy.
140336	Crazy devotion to Donald Trump. Unwillingness to cooperate with Democrats. Stupid positions on women's health and religion.
140337	Most of them bow down to Trump and his craziness, which is hurting our country and the ability to stand up for truth and not conspiracy theories. They won't compromise and do the work they were elected to do, but just do what Trump tells them to.
140339	SK
140343	Only helping the top bracket people and the deportation of the immigrants who have been here in the USA
140344	It is difficult to believe and lead in politics in our country today.
140345	The display of bigotry. The exclusion of people belonging to minority. The belief of trickle down economics. Tariffs are not the answer to inflation nor is energy production.
140347	Anti abortion extremism that doesn't take into account medical reality and necesity for later abortions
140348	womensrights and health care
140350	making an enemy out of the Democratic Party
140351	this party is like a cult now , to far right, the cult leader is trump, and they blindly follow him .many of them know he is not right for president, but still [CHAR(10)]standbye this maniac. they want to keep the power over the government and over the people .
140352	See my previous answer; when the Republican Party decided that only THEY know what is best for my body and my spiritual being, then they lost me entirely. if and when the powers that be in that party come to their senses (if there are any left that have an iota of personal integrity) the party may have my support again, as I said in a previous answer, I am fundamentally a conservative in my thinking.
140353	They need to all stand stronger together and fight harder
140354	It's seriously gotten off track with MAGA.
140356	Their stance on crime and homelessness have made our major cities less than desirable.
140359	They don't all stick together, the arguments among themselves, like what happened with the speaker of the house vote. Not fond of the Rino's who seem to want to hold onto power.
140360	abortion views, human rights
140363	Support Donald Trump for 2024 President Election
140365	They let Donald Trump take over, along with the christian conservatives, and have given up on fiscal conservatism.
140366	It is currently operating as a cult under the thrall of Donald Trump. They have completely lost their bearings and forgotten their historical standing. This is -- or was -- the party of Abraham Lincoln and Dwight Eisenhower, who are spinning in their graves. The only admirable characters left have been ostracized, such as Lyn and Dick Cheney, Republicans Against Trump, The Lincoln Project, and the like.
140367	see my previous comment
140370	They are still politically minded.
140371	their leader is a criminal.
140372	They are just blocking all activity moving the country forward.
140373	They are only for the wealthy. And they always try to block anything that does not go their way.[CHAR(10)]
140374	stances on birth control
140376	they blindly follow trump and refuse to speak out against his ridiculous views.
140377	Abrupt shift to extreme right, perpetuation of lies and political violence, holding the torch for Donald Trump, their hand in abortion restrictions.
140381	Republicans are corporatists. Their idea of freedom" is helping the wealthy get wealthier so there are more crumbs to trickle down to the common people. They believe in keeping people just smart enough to do a job and dumb enough do what their told unquestioningly. They thrive on ignorance and division because if the population's fighting amongst themselves they're not paying attention to the screwing they're getting from the government."
140384	the blind loyalty to Trump
140385	They have come to be the party of big business, bigotry and evangelicism
140388	Donald Trump and JD Vance. MT Green, Bobert, etc., all the loud obnoxious reps[CHAR(10)]They claim Christianity but actions don't show it[CHAR(10)]How Trump still controls the Republican party despite not being elected[CHAR(10)]How they take care of their rich friends and forget about the middle class[CHAR(10)]Threatening to cut social security, Medicare, welfare programs. [CHAR(10)]Does not support Ukraine, except for a few[CHAR(10)]
140389	The direction they are heading is wrong . They are okay with bigots and liars as leaders.
140390	they dont allow free ir different thinking
140391	Not being willing to work across party lines for the good of the nation. Allowing one man to control the actions of the entire party.
140394	They support Trump too much.
140399	their support for Trump regardless of his actions and that they overturned Roe vs Wade
140400	There stance on keeping things extremely conservative. Their pursuing military spending the way it has for years and the prison industrial complex. Making abortions illegal. Taking away same sex marriage. Racism, misogyny, etc.
140404	their only for the rich
140405	they tend not to get involved in war
140409	no respect for women and diversity
140411	Seem very radical especiallybwith Trump
140412	Trump has too much hold on the party
140414	some of them don't work together for the good of the country.
140415	they can’t work together well
140416	Wide-spread failure to protect our democracy and failure to uphold the oaths to work and protect the needs and rights of the large majority of the population
140423	most are old in years
140425	Not willing to work in conjunction with the Democrats. No cooperation or compromise!
140428	No courage or believable, sincere agenda
140430	they are not as effective in getting their agenda passed into law as democrats. they don’t work together/across the aisle to get things done. a lot of talk but no results.
140431	Stance on gun licenses.
140432	abortion rights?
140436	they are babies and can get anything done and have no agenda
140437	Unwillingness to address real challenges and problems facing everyday Americans; really only stands up against wedge issues that don't matter. Fails to circle the wagons and consolidate their power base like the Democrats do; continues to support foreign aid to net-positive GDP countries like Israel.
140440	too much infighting.
140441	human rights violations
140443	Lack of unity and foresight.
140445	They are sellouts to Trump because he wanted that border plan squashed to run on in the campaign. They then cry about issues still happening at the border.
140447	THE PEOPLES IN REPUBLICAN PARY DONT GET ALONG WELL TO SUPPORT TRUMP AND HELP LEAD THE COUNTRY WELL ENOUGHT !!
140450	They always cave to the Democratic Party on issues that should have a hard line stance
140451	their partisanship and unwillingness to compromise on issues in order to govern. They are much worse then the Democrats
140452	The party has been ruined by Trumpism, and has become a destructive force in US politics. I worked on the Reagan campaign for governor of California, because of economic policy issues. I still support the idea of fiscal responsibility in government, and I know the current Republican party still does talk about that issue, but the party's primary emphasis has become whatever Trump thinks will get him elected.
140454	There negative views on abortion and there lack of policies
140455	Most of them talk like Donald Trump
140456	they all vote the same way big government democrats do
140457	stance on moral issues
140460	abortion policy, using religion (Christianity) as a marketing campaign, minority rights
140461	they are too extreme and controlling.
140464	Where to begin? I just believe the Republicans have lost their way and the party is nothing more than a Donald Trump cult at this point in time. I do not like their stand on gun control, reproductive rights or separation of church and state.
140465	Far right has too much influence. Every man for himself. The pie is only so big and if others get more the rest will get less attitude. Against government intervening except when it comes to women’s bodies and sexual orientation.
140467	Outright lying to constituents. Loyalty tests. I could go on but I realized back in 1992 what their game was... and it wasn't good for average Americans.
140468	SK
140470	They bow down to Trump. The party has sold out their integrity.
140471	Don't like the far extreme right beliefs.
140474	they don’t stand up for democracy and they support Trump and his lies [CHAR(10)]they speak out of both sides of their mouth
140475	Don't pull together as well as Democrats in time of need; too many factions.
140476	Stance on abortion
140478	Not enough push back to the democrat party. Republicans do not stand together enough against the destructive leftist/socialist/marxist policies of democrats. While President Trump was in office, Republican leadership was not cohesive and united against the democrats.
140479	They tend to throw out the baby with the bathwater: we should be better stuards of our planet-- when Dems come up with ideas that would cause more harm than good in the name of saving the earth, instead of calling names: come up with your own plan to save the planet that causes less harm. [CHAR(10)]
140482	retrograde goals, inconsistent principles or values, maga, Trump is their chosen leader for 3 presidential contests
140483	too Way from science and reality
140487	The GOP has lost its moral compass. Used to represent conservative perspectives, but the sycophantic obedience to Trump is alarming.
140488	The goal of putting more restrictions on people’s choices as well as their continued support of Donald Trump
140491	Support of Trump. Position against abortion.
140494	that they are bowing to this freak of a man named Donald. They have no balls and are making our country go ass backwards !
140496	their attack on women’s rights, hateful rhetoric, contradictory existence.
140497	old guard needs to go!
140498	against abortion
140501	Som Republicans are way to far right. Some racial issues.
140502	Should fight better as a party.
140504	Their anti minorities behaviours, bulliesm and supporting rich corporations. unjust support for isreal and palastine war. Welcoming natanyaho at us congress.
140506	can be too conservative
140508	Bickering internally
140509	They don't work together enough like the Democrats do. Too much Uniparty in my opinion
140510	RHINO's. I want all the bad seeds gone
140511	The group doesn't provide enough attention to appropriate welfare programs.
140514	there blind following of Trump
140515	both parties need to calm the rhetoric down
140519	Inability to let others live as they wish.
140520	their stance on issues related to things going on in the world. they amplify nonsense while more important things are going on.
140521	too argumentitive and slow on decission making
140524	They support a lying insurectionist
140525	Laws that they pass.
140526	their stances on: [CHAR(10)]abortion, student debt relief, LGBTQ issues, ukraine, LIFE IN GENERAL, I also hate how they have just bent over and spread their cheeks for MAGA just to say they are in power i frankly hope they all die cold and alone.
140527	The willingness of so many republicans to blindly follow and support Donald Trump.
140528	To many Dino’s that are like a weather vane, they only care about staying in office.
140530	They run their entire party on fear and rage
140531	there are too many RINOS!
140532	like the democrats talk is cheap and actions speak louder than words
140534	They're the party of Donald Trump. That says it all.
140536	They've done a poor job of controlling Donald Trump. They have not helped the budget deficit any, nor have they helped the fedaral debt. There has been far too much infighting in recent years. The far right has gained more traction than they deserve.
140539	They aren't strong enough against Democrats on some issues -- want to be liked" and "accepted" by the Dems -- sometimes to the detriment of the people they represent."
140540	Lack of cohesion amounting often times to a lack of political courage against the Left.
140543	Constant lies, money in politics, extremely pro business without taking care of employees (You can be very pro business AND pro employees at the same time).
140545	No interest in governing, no interest in the welfare of the people, only interested in controlling wealth and power.
140548	Racism, sexism, Christian nationalism, cognitive dissonance, homophobia, capitalist
140549	Stance on gun laws, immigration, economic policies, social policies (social support, abortion, LGBTQ+ issues, etc)
140550	they have recalibrated to only care about individual rights for the white and wealthy. They political games with peoples lives.
140553	seems to cater only to rich white men who tend to be older
140554	Abortion[CHAR(10)]pay for middle class[CHAR(10)]
140555	They only care about how they can stay in power.
140558	For the most part, the majority are bat crap crazy.
140559	They have become a party of hatred and divisiveness. They stand for very little except opposing whatever the Democratic Party is trying to accomplish. They also give way too much freedom and too many favors to corporations.
140561	more conservative than the Democrats
140562	The maga wing of the party.
140563	Lack of concern for people who are suffering or in need[CHAR(10)]Unwilling to tax the wealthy to pay for essential services
140565	it's the REPUBLICAN party!
140566	They are whimps too often and need to play dirty when necessary
140567	hypocrites, pot stirrers, corrupt. see a trend?
140568	Its failure to work at compromise with opposing viewpoints. Its failure to embrace prochoice in regard to abortion.
140569	we are still under the trump tax laws which means higher taxes for middle class
140570	There leaders have stood by & allowed MAGA to takeover to secure power
140571	How they have let Trump and his MAGA garbage take over their reasonable reputation.
140580	Their blind adherence to the MAGA cult ideology and their punishment and banishment of ethical Republicans who expressed disagreement with the cult lunacy
140581	Co-opted by Trump
140585	They say that they want to give people freedom, but also want to restrict a woman's right to choose abortion, and ban books. They also say they want to go back to the way things were, which seems to mean when white people had more power and anyone who wasn't mainstream just kept quiet.
140586	They are hateful. based on hate
140587	too conservative on many issues
140588	don’t stand up for their constituents enough
140591	what I wrote earlier.
140593	They’re seemingly wanting to control the country by dragging us backwards to a theocracy, stripping women’s rights, and catering to the wealthy.
140600	They made it possible to eliminate my pension plan at work and now they want to end social security. I said I'd never vote Republican again.
140601	Abortion policy. They have abandoned fiscal conservativism. The backing of Trump has degraded the Republican party's credibility.
140606	Not sure who can be trusted and isn't just talk to be elected.
140607	I’m displeased that the RNC has yielded to Donald Trump and his authoritarian ambitions.
140609	the way they behave. the way that they lie and lie and back a major detriment to the future of our country. the way they do not care about the people they have a personal agenda that does not include Americans.
140613	Do not pursue and crackdown on wrongdoing enough. Are not fiscally conservative enough.
140614	Partisan politics all the time and few policy achievements of and kind.
140618	They support Trump
140619	They’re focused on the wrong issues.
140620	There are a few over the top Republicans that take things a bit to far one example was the ousting of speaker of the house Kevin McCarthy.[CHAR(10)]
140622	The whole Republican Party has become nothing more than *yes men* for Donald Trump. They've lost all credibility
140624	Its not Ronald Reagan's party anymore. The MAGA have taken over and its there way or the highway. What happened to some compromise? Its gone. The party has become so extreme, its scary
140625	having the majority they could do more in getting answers to a lot of questionable things going on
140627	Under Trump, the Republicans increased the federal deficit a significant amount. The party is ruled by a cult of isolationists who all do the bidding of Trump. There does not seem to be an independent thinker in the group.
140631	They push back on progress unless it benefits those who look and talk like them. It is a party of hatred and showboat politics that don't actually benefit anyone but themselves.
140633	both parties seem more concerned with smearing the other party than getting any actual work done
140634	tax cuts for the extremely wealthy, abortion laws, Christian nationalism, ruining public education,
140635	Being controlled by a [CHAR(10)]Mad Man" "
140636	they actually believe the things Trump is selling them
140637	too many middle of the roaders
140638	party fanatics that hold up good policy
140643	Illegal abortion (causes more problems than keeping it legal).[CHAR(10)]Evangelical support - esp. for those supporting Israel becuz of the rapture".[CHAR(10)]Possibly making birth-controls illegal - Gov't getting into personal lives! Crazy.[CHAR(10)]Support for privatization of K-12 education and prisons.[CHAR(10)]Tax cuts for wealthy - no cap on profiteering in America - crazy[CHAR(10)]More WarHawks than some Democrats[CHAR(10)][CHAR(10)]Support for Israel and allowing, more than the Dems, madman Netanyahu to manipulatively speak to USA Congress![CHAR(10)][CHAR(10)]Too many things - and things without substance![CHAR(10)][CHAR(10)]"
140645	those that lie and contribute to the federal debt.
140647	anti-abortion, too loose on gun control
140648	supporting a liar and allowing Trump to take over the party. They basically sold their political souls to Trump just to not lose his base MAGA supporters.
140650	They continue to embrace Trump and extreme MAGA-leaning candidates and appear to want to cut some of the most popular and important federal programs like Social Security, Medicare, SNAP and the ACA.
140651	la forma como ven la emigracion
140653	At times many of them act like Democrats.
140654	Some are not in politics for the right reason
140655	no willing to compromise on some issues.
140663	It is the party of anarchy and is anti Democratic.
140666	They've stuck behind Donald Trump for too many years. Many republicans have spoken out against Trump yet later join his side. Republicans also seem less likely to work across the aisle to resolve issues with democrats. I've also seen some very moronic/bad people hired into the republican party.
140669	old white conservative republicans who are racist
140672	I don't like the negative rhetoric.
140673	They support destroying our Constitution and have members who still say Biden did not win the election and support the January insurrection. They lean toward helping the wealthy and not the poor or middle class.
140674	As with any political party- sometimes they are out of touch or do not align with my personal beliefs. Their hardline stance on abortion is something I don't fully agree with.
140676	appear to be followers not leaders.[CHAR(10)]
140678	In general, Trump's republican party is out of touch with mainstream America and they threaten our individual freedoms and interfer with our personal choices, using fear and racism.
140679	Some claim to be Republicans but never vote with the party. RINO's
140682	not talking about solutions,
140683	I think it's true with both parties they get elected & if the opposite party has control of the Congress or Senate it's hard to get what they promised passed. I know Trump is saying a lot of things, I just hope he has the full Congress behind him so he can do what he promised.
140685	At present they seem to have been brainwashed by Donald Trump and follow blindly whatever he says: example is the bipartisan immigration policy that recently was voted down because DT told the Republicans not to vote for it. Also they can't even see facts and truth before their faces but prefer to push conspiracy theories. They vote down anything proposed by Democrats.
140690	don’t agree with policies, most policies and ideals
140692	they don't seem to be too concerned about the common good. It SEEMS as if they are most concerned with making and keeping money.
140696	Anti Trumpers are holding this party back in getting things DONE
140698	None of them are helping the founding population of the united stated.
140699	violence has escalated & they are out of touch
140700	stance on abortion
140704	Too many in the party think like Democrats--my way or the highway. both parties need more statesmen and centrists.
140706	how the handle the health care system
140707	I feel they have not taken into consideration of the people in the states. I feel somewhat ramrodded over the abortion issue and not put the issues to be voted on in our states. Many of our legislators have pushed through without being on the primary ballots so doing what they want in the states without representation from the people. What happened to no religion in politics. It should be about our individual choices, and they don't cover that.
140708	Their nomination for president
140709	The Republican party is honestly the complete opposite of everything I believe in. I think they have fascist beliefs and they're trying to push us backwards. There is a lot of corruption and bigotry within that party, and I feel like it has gotten much more vocal and now their followers feel comfortable being transphobic, sexist, and racist in public.
140710	Rinos and sometimes they are just spineless
140715	financial frugality only applies to poor people. they force their religion and religious biases on everyone. they promote corporate exploitation of poor people and give advantages to the wealth holders. they demonize social systems in favor of profits
140716	To extreme on Abortion. The supreme court was correct in Roe. However, it is up to the states and the Republicans are pushing it to far right. Makes me sick.
140717	loosened restrictions on environmental policies
140718	I generally do not agree with their policies on a wide range of things, especially that of the new Republican movement in the country.
140719	comments that insult individuals, arrogance, ruthless candidates.
140720	To many RINO's and not enough backbone to fight for what they say they are for.
140721	women’s health rights, immigration, corporate taxes, jd Vance’s face
140725	THEY ARE AGAINST ABORTION.
140728	they are not unified, which makes them weak, and are not sufficiently conservative.
140731	Fascists. Anti-immigrant, anti-minorities, anti-woman, anti-gay, anti-trans, anti-vax, anti-government, conspiracy theorists, liars
140732	Republicans want to allow the MAGA idiots & thieves to take us back to feudal times - denial of rights for women & ppl of color, immigrants (as if 99.9% of them aren't descended from immigrants,) & oppression of non-christians. We'd be like Afghanistan but with more guns, & nukes.
140734	Racism, hateful
140736	The Republicans do not do what the Democrats do and stick together.
140740	Too conservative
140742	i feel strongly that this party is becoming more of a dictatorship.
