V240001	V241170 - PRE: What does R like about Democratic party [text]
140264	1) I respect the Democratic Party for their willingness to impose left leaning policies that may benefit many people of the lower income brackets. [CHAR(10)]
140266	I like to believe that the people should have the choice of who is running the country.
140268	ONLY if viewed in the Parties Once pure stance for equality for all. I am old enough to know about Kennedy’s Stance on Civil Rights and the once great defender of All Americans. This PARTY has LONG GONE, it is NO LONGER My Families Democrat Party.
140269	Their more liberal approach.
140271	Abortion, economy, gun rights, and seem to care for others
140275	women’s rights values, healthcare, taxing
140279	more tolerant when it comes to allowing people to live their lives the economy has comeback prescription drug reform offering ordinary Americans an opportunity to get ahead not just the wealthy republicans have failed to connect with the average American
140280	For the people, on topic, honest
140282	I try to listen to both parties and especially right now I already know it is Democratic. I like to hear what they are going to try to accomplish in office.
140283	The overall care and concern for all people, not just the rich or people that don’t have a disability.
140287	they stand behind the low income citizens
140291	General stance on gun policies, police, health care, equality, etc. social issues, economics, environment, way better than republican but too tepid on all of it..
140293	A woman should have a right to do with her body as she wishes.
140295	better human righta
140296	their policies towards about economy, race immigration and gender[CHAR(10)]
140298	Always felt it was more likely to help the poor and middle class.
140300	some ideas on our own citizens
140302	Family oriented, they seem to understand that abortion is a medical issues and not about killing babies, they will look to find the root cause and not just blame social ills on immigrants.
140304	I do like that they are more open to homosexuality and gender identity, but I feel like they take it too far.
140305	Overall, members seem to be openminded, willing to listen to opposing views. More of this party's members seem to be willing to work with others toward a common good.
140306	They support climate action. They generally don't have policies that are bad for people of color.
140310	high hopes and want to trust and believe in
140311	They are not perfect. But at this time in our history, the democrats are staunchly supporting the growth of the middle class. I do believe that without the opportunities provided by the middle class, we would be like those countries that have grinding life-long poverty for many. Without the ladder" to success and affluence that the middle class provides, we end up a country of the very poor and the very rich - and ripe for anger and utimately violence."
140316	Almost everything.
140320	Big tent party aimed at helping 'ordinary' folks.
140323	in general, the stand for the working class. marketplace/obamacare is a good example
140324	Tend to support women's rights, LGBTQ rights, labor rights, access to healthcare and education, etc. Minimal pandering to Christian supremacy. Fewer obvious capitulations to corporate ownership of our country.
140331	How unified they are.
140334	I like the inclusivity, diversity and focus on policies that help US citizens and better the country as a whole. I like the party’s awareness that we cannot go[CHAR(10)]it alone in the world and that all countries are inter-dependent.
140336	Many policies to benefit those without resources. Benefiting those from the bottom up and middle out. Having rich citizens pay their fair share in taxes.
140337	They are trying to do better for the environment, for health care, for abortion rights, for seniors, for Vets, for the Rule of Law, for the climate challenge, for the poor and middle class.
140343	Trying to pasa bills to help the immigrant community who has been here
140344	I think we do need a change and Kamala might be it. A woman’s perspective may just change our sad outlook on life issues.
140345	The belief in the middle class being the building block of our country. The acceptance of people of color, sexual orientation, and gender identity. The preaching of joy and equality.
140347	Support for LGBTQ+ rights
140348	caring about womens rights and health care
140350	common people accepted
140351	they more of the people , but they have problem too , they should be more in the middle , don’t to left
140352	As of this point, they are standing up for womens' reproductive rights. They are standing up for the separation of church and state. they are attempting to mitigate the food insecurity for children which as reached epic proportions in the USA where NO CHILD should feel food insecurity.
140354	It's on the right track, but still needs a lot of work.
140360	human rights and abortion views
140363	National and International Policies
140366	Democrats still stand on their principles and exist to serve the people of the country. They are smart, optimistic, and forward-looking and reflect the changing demographic make-up of the country as a whole. They are the future, while Trump and his henchmen and -women are a racist, misogynist movement clinging to a warped vision of the past.
140367	i think for thr most part they hsvd my interests in mind
140371	they're trying to help they are honest.
140372	The way the party is protecting woman's rights.
140376	typically for providing services for the disadvantaged segment of society
140377	Its policies align with my values and I believe they better reflect the needs of people who needs the most support from the government.
140384	pro environment, pro family, loyalty to allys
140385	They support progressive legislation and individual rights.
140388	Support the American people[CHAR(10)]Try to pass laws and financial packages to make life better[CHAR(10)]Financial has gone up in stocks so people should be making money if invested, not just the rich[CHAR(10)]Democrats seem to care about their constituents, have faith in their religion and show it in actions, support women
140389	The way the democrats handle matters are always in a professional manner. I also like that they push for equality and always have a plan to fix something that is wrong with our country.
140390	They like to help the little person.
140391	Willing to work toward policies that are for the good of the people.
140394	They try to help the underprivileged.
140399	trying to restore women’s choice for their medical care, fight for equality, supporting religious freedom, support for access to medical care for everyone, trying to make sure the very rich pay their fair share, protecting the environment
140400	I like that they are generally speaking more liberal and care more about foreign relations. I like that because of them I have been able to be married to my husband as a gay man. I like that they care about having things like medicaid and federal programs to help our world. I would hope that they do more work to care about global warming, so we all have a future though.
140404	their for the people and the poor
140409	represent all American
140410	progressive approach
140411	care for others
140412	They are interested in making our lives better not living in the past.
140416	More interested in working on behalf of regular people like me.
140419	they mean business
140423	seem to be a little bit conservative
140425	The care and concern of the average people
140428	SK
140430	they are very effective in joining ranks and getting things done, whether I agree with their agenda or not, they work together/support each other
140431	Pro healthcare and more gun control.
140432	The abortion rights
140436	they try to help the American people but the republicans won’t let them
140444	everything there doing
140445	They mostly care about the country and its citizens.
140451	choice about abortion, overall fairness to constituents
140452	Supports democracy and equal opportunity in the US. Supports the idea of an active positive role for the US in international affairs. Generally takes climate change seriously as a threat to the country and the world. Respects women. Seeks to make the federal government be an instrument for positive change in the US.
140454	There views on abortion and the economy
140455	They are very positive and things are going well.
140457	focus on equality, more global view, environmental protection
140460	women's reproductive rights
140461	just about right not overbearing
140464	Generally speaking, I find the Democratic Party to be more honest and willing to help working class Americans. I also like their stance on gun control and abortion rights.
140465	healthcare for all, right to choose abortion, programs to help disadvantaged, support for Ukraine, gun regulations
140466	everything they do is awful, country is a mess
140467	It's inclusive. Unlike the Republicon Party, there are no RINOs... there is no loyaly test that damns dissidents to hell and excommunication.
140470	They are at least trying to help the people live better lives.
140472	The way us hard working middle class have to pay for all the money given to illegals and people not willing to work. They are supporting insane programs and support things not in my beliefs.
140474	The party stands up for the wellbeing of the US and NATO, the environment
140479	Some of the ideals of the democratic party are admirable and even good. However, their execution of said ideals are usually flawed.
140482	consistent values and principles however moderate
140483	nothing worth mentioning
140487	More diverse (women, people of color), which hopefully translates to more representative of the electorate. Generally advocates for environment and the not-rich.
140491	More progressive on social issues.
140492	being interested in helping people
140494	They are trying not to dissolve history like the Republicans. I man banning books from school?? People are to soft! Telling women they cannot have ivf.. who does this
140496	support of social freedom
140498	abortion, foreign policy
140501	a little more open to change and seems to embrace all nationalities.
140503	Democrat parties for the people
140504	Their progressive agenda for poor and woman. Trying to help students and welfare of majority americans.
140505	views on Roe versus Wade
140506	always known as blue collar working class party
140511	I do think the party is interested in supporting education and supporting some welfare programs.
140514	 I like the values and philosophy of the party
140519	Phenomenal fundraising capability.
140520	their stance on helping the lower class. they have a heart on issues overlooked by the Republican Party.
140524	progressive and compassionate
140525	Help with the lower classes of the American People.
140526	They're actual human beings even if they're flawed.
140527	Their stand on abortion and women's rights. Their concern for people regardless of their economic status.
140530	Their abortion policy is horrific
140534	The Democratic Party believes in Democracy and supports racial and social justice. Protects the environment, and supports public education. Democratic Party cares about people, cares about civil rights, supports equal rights, has better policies in supporting a strong economy. Wants to tax the super-wealthy. Supports unions and workers. Wants to figure out immigration. They are adults who want to actually govern.
140536	On some issues they try to watch out for the average consumer better than the Republican Party.
140542	They seem to want some progress in the country
140543	They are slow to get things done but progress does occur, so I have to get them some credit.
140545	At least seem to try and govern with some interest in providing health care, controlling climate issues, and spending to improve decaying infrastructure.
140548	Social rights/issues
140549	The economic and social policies I just mentioned against the republican party.
140550	belief in human rights
140553	policies that benefit the most people.
140554	abortion [CHAR(10)]pay for the middle class[CHAR(10)]environment policy[CHAR(10)][CHAR(10)]
140558	Policies are geared towards helping people; improving our standing on the world stage.
140559	They represent the minority
140563	More willing to tax the wealthy to pay for essential services[CHAR(10)]More empathetic toward those who are in need
140567	human rights, equality, socialized healthcare
140568	Its progressive, liberal approach to most issues. Its inclusivity.
140569	democrats governs for the betterment of the people
140570	Seem to have a plan on how to tackle issues. [CHAR(10)]Interested in universal health care & people’s rights beyond just owning guns.
140571	Often too liberal or too “woke.”
140580	Diversity, Honesty, Compassion
140581	Inclusivity…care, concern and willingness to do the right thing for everyone
140582	how they are handling the situation economy, immigration,
140585	That they are open to letting people truly live the way they want to live, that they want healthcare and support for all people. They love our country but also acknowledge where we need to grow and change.
140586	They are truthful. They are for everyone.
140587	stand on abortion and better plan upcoming for immigration
140593	Trying to keep the U.S. a growing and expanding social democracy, for the good of all its people.
140594	they help the people
140600	In theory I like all the social safety nets. I like the idea that they are looking out for the ordinary person. (unfortunately none of that is true anymore)
140601	Supporting renewable energy and green technology, women's rights, value education, LGBTQ rights, social programs, advocacy for middle class America, not corporations.
140607	The DNC resonates with my values, embraces inclusivity and do not dehumanize those who disagree with them.
140609	they are for the people. they are about protecting our democracy against Donald trump.
140612	they are generally trying to do the right thing
140614	They back some popular policy proposals that I’m interested in and support.
140618	Support for workers
140620	Their progressive branch socialistic views the green new deal, Medicare for all and their extreme abortion up until birth.
140622	If i had to boil ot down to just 1 point, I'd say Freedom. The Democratic Party believes in Freedom.
140627	They have a deep bench of prospective leaders. The have rational and reasonable policies.
140630	Social justice, homeless programs, shelter help
140631	I think it is the party willing to discuss how inclusion can make for a better future. So many people are nostalgic for a past time when we didn't want allow others to actually have a shot at the American Dream. While the Dems are not perfect, they aren't discriminatory for the sake of misguided self-preservation.
140634	they care about the middle class and poor people and try to put in place policies that help them
140635	Everything!!! What they are trying to do for the Seniors, an they are for All of the Human Family" in this country not just "Whites"...everyone is "INCLUDED"!!![CHAR(10)]"
140636	the idea that people are entitled basic human rights
140638	union approval
140641	ISSUES IN POLITICS ARE C0MPLETE OPPOSITE DEMOCRATS = RADICAL[CHAR(10)]REPUBLICANS JUST THE OPPOSITE. PEOPLE SEEM DISSATISFIED WITH DEMOCRATIC (PRESENT POLICIES)
140643	[CHAR(10)]A bit more concerned with WeThePeople. Issues that will enhance Quality of Life for Middle Class and Others. The Progressive wing of the DemParty has it right with many issues, IMHO. [CHAR(10)][CHAR(10)]Legalizing abortion with appropriate constraints; having impeached Trump twice, though Trump not thrown out of office due to the Repubs who could care less about Ethics, about much Morality, or decency. [CHAR(10)][CHAR(10)]Democrats are coming around re Immigration - straightening out that mess. [CHAR(10)]Democrats FAIL, though, with foreign policies; they are still mostly warmongers; the Progressives are not, so much. [CHAR(10)][CHAR(10)][CHAR(10)]
140646	I like their strong political leaders.
140647	abortion rights. immigration
140648	they defend the rights of every citizen regardless of their political allegiance, sex, race, religion or country of origin.
140650	Taxing the extremely wealthy and reforming the tax code to help middle class, raising minimum wage, recognizing and supporting unions, promoting paid family leave, protecting Social Security and Medicare and supporting a woman's right to make her own decisions about medical care including abortions.
140651	el trato con los emigrantes
140653	I'm ok with moderate Democrats, near the center, but there are none but Joe Manchin.
140658	there communist
140662	More in line with middle/working class citizens and more concerned about how policies will affect those less fortunate
140666	They seem care more about the people and working to do things to improve their lives. Seem more open minded. Willing to work across the aisle to resolve issues.
140669	Young and welcoming democrats
140672	They work more with the people
140673	They pass legislation that help the working class. They want to make this country the best it can be by passing good laws and protecting the Constitution. They are honest, in most cases. They support people, rather than tear them down as the Republicans do.
140676	guard rail against Republican Party
140678	I agree with the practice of having a big tent", embracing inclusion and guarantee of personal freedoms "
140682	healthcare , finally was able to get health insurance in my life
140685	They usually stand for policies that help people in areas of health care, housing, workers' rights and work to achieve a more just and equitable society.
140686	I respect the views of both parties
140692	More concern and policies benefiting the average person.
140699	democracy is how our country was built, don’t change it
140701	budget practices
140702	Women's right to choose
140707	I like the idea of helping others or those less fortunate. I also like they have more women in their party.
140709	I agree with a lot of their policies and ideas, and I think they're very progressive. They protect the rights of marginalized groups. However, I think I lean further left than most moderate or liberal Democrats, so I do have my issues with them.
140710	Clinton was a great president can we re-elect him
140715	they support freedom of and from religion. they support civil rights. they support public education and social security. they support bodily autonomy and science
140716	For the most part I agree with them on many social issues. They just take it way to far. The democratic party of Bill Clinton I liked.
140717	Environmental policies
140718	I appreciate the idea of Democratic policies, as far as being more for people having individual rights (re: abortion rights, access to healthcare, gay marriage, trans rights). I don't appreciate how our political system is only about Democratic or Republican and I feel that both parties are still self-serving in many ways.
140719	Comments policies hat are realistic/connect to everyday people, abortion policies
140721	emphasis on the middle class, women’s rights, foreign policy
140725	ABORTION RIGHTS
140727	Some social issues.
140731	They believe government can improve our lives. They stand for the average American. They are pro-choice
140732	People's party, pro democracy, pro voting rights, pro women's rights, pro environment, future looking, pro science, & data driven.
140734	Empathy, attention to social issues
140740	They aren't so conservative
140742	i believe in their agenda to have better gun control and more fair tax breaks for working class citizens.
140743	At this point I think it is the only real political party. I see it as the Party of Democracy. I believe in a two party system, but sadly the Democratic party is the only functioning political party we have at this point.
140744	liberal agenda and economy is a disaster with their policy. [CHAR(10)]
140746	They seem to try to represent constituents interests.
140752	they are bit more lax with major issues that affect the country
140755	Their rhetoric on monopoly busting and the power corporations hold in America. They at least try to advocate for the American worker but again it's mainly rhetoric.
140756	seem to support the overall population
140757	Candidates/Policy
140759	they aren’t fascists and are more fair to the people.
140760	Family approval since FDR. It's the party of the people who are not judged for their wealth nor their poverty. It is the party most fair for immigrants, poor, disabled, lower paid women workers, factory workers, and people who have been educated or undereducated. We have choices.
140761	Not weaponing politics. Stating more logical and pragmatic policies
140767	I think they do more for our economy and our country
140769	pues que parece que no son racistas
140771	They now have a strong candidate that can win. They are for the American people.
140772	They try to make bipartisan decisions; they keep their word. They are grown-ups.
140773	They stand for unity.
140780	They are for the middle class people.
140782	They are Democratic and mostly liberal thinking
140784	more for middle class
140785	positions on gun laws, women’s rights, minority rights, education funding and health care
140786	 Virtually every policy they run on.
140792	Support of a woman's right to choose, affordable healthcare
140793	Democrats (generally) believe in women’s rights, LGBTQIA+ rights, abortion rights, racial justice and equality, proper and affordable healthcare, and basic human rights
140794	The protection of the Democratic and the demands of equality.
140796	They have an overall open mindedness and don't support abortion. Also looking for non punitive measures to work with positive immigration solutions.
140797	They are an inclusive party regardless of race and gender
140800	they demonstrate strong leadership and compassion for all people
140802	Exactly the same things I dislike about the Republican party. Immigration, abortion rights. I like women's rights, education rights/help
140804	gun control, environment, women's reproductive health, healthcare, middle class taxes.
140806	Social system; inclusive; generally good.
140811	I love the inclusion and the progressive policies. we are moving forward not back to the good old days""
140814	Knowing on bad another trump president would be Biden step aside for the good of the country in history not many have power is very hard to give up[CHAR(10)][CHAR(10)]Not perfect but they seem to still be trying
140815	Mantiene a raya a china y Rusia
140817	stance on abortion and stance of farm bill
140821	they care about things that matter to me
140826	They stick together no matter what.
140828	focusing on helping all people in America
140829	They align better with my values
140830	helped with Obama care
140832	progressive views on social issues. support programs to help children, poor, or working families. Not trying to push religion as legislation
140835	Kamala/ Tim Walz
140836	They are the only choice to beat Donald Trump. They care more about people.
140837	la candidata.. Kamala Harris
140839	I feel they are the stronger party
140840	Evey thing they speak from there heart
140842	Compassion toward the general population.[CHAR(10)]Willingness to work with other groups.[CHAR(10)]Non-isolationist. [CHAR(10)]
140843	For middle class and poor
140847	for all people
140848	This seems to be the party for the people, all the people.
140849	their views on illegal immigrants, abortion, etc.
140851	moderate positions on labor and freedom of relationship
140853	Care about the poor, disabled, old, all races, people in other countries relatively open minded, etc
140855	Democrats work for the betterment of the general public, not just for the large corporations and the wealthy business class as the Republicans tend to do.
140859	They mostly believe in progress
140861	It is still interested in democracy and the Constitution and actual individual freedoms
140864	service for americans
140866	Their policies are built around middle class
140867	standing up for democracy, the constitution, and the rule of law
140871	I expect people to not be just given things at any time
140873	ALL GOOD PEOPLE
140874	Middle class focus
140876	SK
140877	policies that are more geared towards helping the working class
140880	Seem to care more about the middle class people and their well being. Are sending hope and goodness messages to Americans. Never perfect, but much better than opposers.[CHAR(10)]
140881	they are for the working class people
140882	seem to look out for middle class working people better.
140883	Helping others
140885	stance in 2nd amendment.increasing taxes
140887	More openness to pro-immigration policies, and more support for minority groups.
140890	they cant be all bad.
140893	More understanding of immigrants, abortion policies, actually makes decisions that will help the middle class like me
140895	They believe and say what they think and do not hold back. They are here for the people.
140899	Social policies.
140901	Democrats care about the middle class and working people, freedom, DEI, helping everyone succeed not just the rich.
140902	I believe that the democratic party works for the working-class people
140903	abortion policy, policy on pot
140911	We feel that it's the only oarty that we can trust is in our corner trying to hold our Country together
140912	they are human.they suuport all the people.
140914	The Democratic Party tends to align with issues that matter to me. Woman's right is something that is important to me and the Democratic Party supports the right for women to choose.
140915	They at least give lip service to helping the middle class, and occasionally do come through for them.
140916	Believe in their values
140919	They seem to be insterested in democracy in the UNITED states. They seem to be serious about abortions being given to those women and girls who are legitimate in their need of one. They don’t withhold help from states that need financial help after they have disasters after storms fires and other bad /costly situations like getting help for Eucrane.
140923	Their ideals mainly match mine.
140925	they seem to have more common sense than the republicans
140927	healthcare, help from the government
140928	hit the wrong button sorry[CHAR(10)]
140931	They believe in a womans right to chose.
140932	pro worker, pro lgbt, get things done
140933	Moderate social stances, abortion rights
140936	they are not racist
140937	Democrats are for the working people of all classes & race. We dont call people inappropriate names and act like children when things dont go our way. We represent inclusion, diversity and respect for all people.
140938	that they are always helping people that don’t want to work they just want your vote and to make hard working people make up the difference
140939	JFK Democratic Party
140940	The democratic values including reproductive freedom, gun control, Affordable Care Act, focus on climate change, focus on education and childcare, cost saving on prescription medications, preserving Medicare and Social Security for future generations.
140943	to liberal abortion
140944	abortion right, empathy towards others, health care
140948	while the democratic party is still riddled with self serving politicians, I do feel there is still hope to do right by the people that make up this country. if they implemented what they say then i feel the country would be going in the right direction.
140949	There are true concerns for all of the people. Logic
140950	I thought no silent majority care about USA
140952	The doctrine is wonderful. Unfortunately, it's been hijacked and sold out to the rich and famous to get votes without truly helping people (handouts don't help - in my opinion). It's a great concept/idea, but it is not being implemented. The Republican party is doing a better job of implementing the democratic doctrine than the democratic party.
140957	supports abortion, supports social programs
140958	They are more aligned with the middle and lower classes; inclined to consider their challenges and propose laws, etc with them in mind.
140959	protection of women’s rights and social programs.
140961	pro choice. I agree with the idea woman’s body woman’s choice!!
140965	Climate, Abortion, Economy
140967	support for women's rights. supportbto create access to healthcare, education, jobs for all Americans
140968	Their policy on immigration. Policy on helping poor, underprivleged people. Their foreign policy to keep countries from being taken over by dictators.
140969	The way they handle the border
140974	More supportive of women’s rights, racial justice, more open minded
140975	The progressive side of Democratic is more in line on how as a country should be.
140978	They have many good governors senators & Congressman, & need a break.
140979	They are for democracy.
140980	they don’t care about the country. it’s all a selfish way of thinking and what can they get for “free”.
140981	women’s rights, willingness to change/progress,
140982	Tends to lead more towards people vs corporations
140989	They aren’t very good at winning the fights, but at least they will go to battle for what their voter base wants. And for the most part they have kept a moral center across the party.
140990	More organized , better communication
140991	Professional, decorum, abortion rights, character of individuals within the party, understand the important role of government, for individual rights of all colors and creeds, seem to be more intelligent, science supporting, handling of COVID-19, monetary policy, economy
140993	yep. true
140999	working to help the economy
141001	Everything..my belief is pretty much the same.
141003	to make American great again[CHAR(10)]
141006	trying there best to put the country back together.
141008	Its regard for all people. Its policy on abortion. Its policy on reducing inflation and the economy. Its upholding the Constitution and separation of church and state. Its humane approach to immigration. Its efforts to lift children out of poverty and provide affordable childcare.
141009	Policies on right to abortion, gender affirming healthcare, climate change
141012	Currently, the Democratic party is fighting to save women's abortion rights in this country.
141016	Favor a woman's right to choose, fair elections, want to help people other than themselves
141017	Equality of rights
141018	They speak well about caring for the underdogs (homeless, poor, aged, etc) but have not quite figured out how to put their words into action.
141023	advocacy of women’s rights, particularly IVF and abortion
141024	They seem to be more in tune with the middle class. They also seem to be willing to help with education and paying for it.
141029	The Democratic Party in general strives to make lives better, not worse. It's clear that most Democratic politicians care about people, and want the country and world to be a better place.
141031	Environmental stewardship
141033	Pro-abortion, more into equal rights, pro-ivf, pro gun control
141034	social security and healthcare
141035	they focus on inclusivity and humanitarianism in America more than the Republican Party
141039	most of the time they will look out for the little man.
141041	wrong direction
141042	Their support of social policy that represent diversity in America, policies to acknowledge the LGBTQ+ population and same sex marriage.
141043	The Democratic Party appears to care about all Americans.
141046	for the regular people
141047	Protect women's rights, care about the middle class, strong international partners with other countries, concern about the environment
141049	social programs [CHAR(10)]healthcare [CHAR(10)]
141051	I do not believe there should not be a national band on Abortion, But do believe in a limited time for it baring some siturations
141053	Their policies and beliefs align with mine.
141055	support for LGBT and BIPOC rights, voting rights, and women's rights
141058	The Democrats try to work for most of us. Sometimes they don't always do it well but I feel that most of them do try.
141060	General care and empathy toward all people
141061	Focusing on supporting human beings, the environment, willing to cooperate with other nations, willing to support minority and women's rights.
141063	Policies and the fact that people don't just fall in line
141064	They seem to at least make an effort to govern and spread more wealth to the middle class.
141068	They have proven in the past that they can get things done!
141070	they are not making decisions for women to have a rights to ban abortion
141071	Most Democrats are pro choice, believe climate change is real and poses a major threat to life as we know it, positive on Unions and public education.
141076	It is a party for all layers of society, not just the wealthy. So far they have implemented policies that forgave onerous student loans, lowered drug prices, made emergency money quickly available for areas hit by disasters. Developed a border policy approved by both parties, only to have is canceled by Trump. Their cabinet has tackled many of our infrastructure problems with great results.
141078	Care of the land
141080	their stance on LGBTQ rights, climate change, environmental conservation, science and scientific research, public health, gun control, and how our allies look up to our democratic leaders more (like Obama). values of compassion and inclusivity
141081	They try to bring equality and inclusion just basic common sense
141084	believe in pro choice
